geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200923,,20200928,5,54,,
al,confirmed_incidence_num,20200923,,20200928,5,575,,
ar,confirmed_incidence_num,20200923,,20200928,5,983,,
az,confirmed_incidence_num,20200923,,20200928,5,442,,
ca,confirmed_incidence_num,20200923,,20200928,5,3330,,
co,confirmed_incidence_num,20200923,,20201001,8,615,,
ct,confirmed_incidence_num,20200923,,20200928,5,155,,
dc,confirmed_incidence_num,20200923,,20200928,5,29,,
de,confirmed_incidence_num,20200923,,20200928,5,69,,
fl,confirmed_incidence_num,20200923,,20200928,5,2588,,
ga,confirmed_incidence_num,20200923,,20200928,5,1454,,
hi,confirmed_incidence_num,20200923,,20200928,5,167,,
ia,confirmed_incidence_num,20200923,,20200928,5,856,,
id,confirmed_incidence_num,20200923,,20200928,5,396,,
il,confirmed_incidence_num,20200923,,20200928,5,1849,,
in,confirmed_incidence_num,20200923,,20201001,8,715,,
ks,confirmed_incidence_num,20200923,,20200928,5,1213,,
ky,confirmed_incidence_num,20200923,,20200928,5,782,,
la,confirmed_incidence_num,20200923,,20200928,5,433,,
ma,confirmed_incidence_num,20200923,,20200928,5,0,,
md,confirmed_incidence_num,20200923,,20200928,5,385,,
me,confirmed_incidence_num,20200923,,20200928,5,26,,
mi,confirmed_incidence_num,20200923,,20200928,5,898,,
mn,confirmed_incidence_num,20200923,,20200928,5,681,,
mo,confirmed_incidence_num,20200923,,20201001,8,1491,,
ms,confirmed_incidence_num,20200923,,20200928,5,552,,
mt,confirmed_incidence_num,20200923,,20200928,5,214,,
nc,confirmed_incidence_num,20200923,,20200928,5,951,,
nd,confirmed_incidence_num,20200923,,20200928,5,473,,
ne,confirmed_incidence_num,20200923,,20200928,5,497,,
nh,confirmed_incidence_num,20200923,,20200928,5,17,,
nj,confirmed_incidence_num,20200923,,20200928,5,408,,
nm,confirmed_incidence_num,20200923,,20200928,5,197,,
nv,confirmed_incidence_num,20200923,,20200928,5,195,,
ny,confirmed_incidence_num,20200923,,20200928,5,665,,
oh,confirmed_incidence_num,20200923,,20200928,5,903,,
ok,confirmed_incidence_num,20200923,,20200928,5,1094,,
or,confirmed_incidence_num,20200923,,20200928,5,190,,
pa,confirmed_incidence_num,20200923,,20200928,5,906,,
ri,confirmed_incidence_num,20200923,,20200928,5,683,,
sc,confirmed_incidence_num,20200923,,20200928,5,899,,
sd,confirmed_incidence_num,20200923,,20200928,5,443,,
tn,confirmed_incidence_num,20200923,,20200928,5,1555,,
tx,confirmed_incidence_num,20200923,,20201018,25,3409,,
ut,confirmed_incidence_num,20200923,,20200928,5,892,,
va,confirmed_incidence_num,20200923,,20200928,5,585,,
vt,confirmed_incidence_num,20200923,,20200928,5,1,,
wa,confirmed_incidence_num,20200923,,20200928,5,510,,
wi,confirmed_incidence_num,20200923,,20200928,5,1895,,
wv,confirmed_incidence_num,20200923,,20200928,5,120,,
wy,confirmed_incidence_num,20200923,,20200928,5,154,,
