geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.74157341885278,0.068094621672032,
al,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.88818044495025,0.023396674230425,
ar,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.61457825439597,0.036594476358072,
az,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.68398676081198,0.019760543563435,
ca,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.55566706604293,0.010273788822594,
co,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.87705284795149,0.022193724277508,
ct,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.0476153469535,0.024377256443921,
dc,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.232346665657,0.089259536663769,
de,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.89110299212742,0.043852850758445,
fl,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.52033206713339,0.010143364095589,
ga,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.69572138775652,0.019312977396241,
hi,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.2257101219034,0.033690174970934,
ia,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.91329875029522,0.023181935003044,
id,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.35849815540883,0.028849513437051,
il,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.86853915300435,0.013940975523506,
in,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.85274154111066,0.020546792080326,
ks,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.60069896643241,0.030993228496726,
ky,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.85708149589722,0.026155728077815,
la,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.82945714048607,0.028117717184868,
ma,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.95285097286578,0.022936689001429,
md,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.97825568101816,0.025519648856132,
me,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.42395760620747,0.034017399368842,
mi,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.76645793590479,0.013685258917465,
mn,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.92038336379603,0.025395692020253,
mo,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.58263712923647,0.024218110756099,
ms,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.68509247738419,0.027545646261974,
mt,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.58090188713562,0.040470762200124,
nc,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.61586436790532,0.013542683758735,
nd,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.80307475822724,0.060460940333107,
ne,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.0211603622805,0.043438388206797,
nh,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.2262776718334,0.040991402747014,
nj,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.3051222317215,0.024640509364866,
nm,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.132537187669,0.035957327686071,
nv,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.67913504359518,0.035810690282078,
ny,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,1.195347148781,0.014528460402928,
oh,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.64122659748403,0.015346116892499,
ok,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.71455577251002,0.02847400352101,
or,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.57589981322371,0.024390304020391,
pa,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.60635499083772,0.012298680467747,
pr,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.46666906944858,0.16797396235728,
ri,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.93419115628381,0.055265783416173,
sc,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.63748140326514,0.020310048302661,
sd,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.59569236057514,0.067054841716163,
tn,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.55141396661013,0.023121312200796,
tx,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.60763218212991,0.011408462274353,
ut,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.65355911563338,0.028489001015015,
va,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.92909433198845,0.016936715877627,
vt,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.52772629127203,0.043559522743978,
wa,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.63045484232415,0.021433877123352,
wi,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.73145745941091,0.021090550139225,
wv,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.78954155782832,0.03083239735998,
wy,nmf_day_doc_fbc_fbs_ght,20200523,,20200821,90,0.50907243376405,0.050334346518891,
