geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200612,,20201017,127,14.428571428571,,
al,confirmed_7dav_incidence_num,20200612,,20201017,127,608.57142857143,,
ar,confirmed_7dav_incidence_num,20200612,,20201017,127,413.57142857143,,
az,confirmed_7dav_incidence_num,20200612,,20201017,127,1226.7142857143,,
ca,confirmed_7dav_incidence_num,20200612,,20201017,127,2955.1428571429,,
co,confirmed_7dav_incidence_num,20200612,,20201017,127,172,,
ct,confirmed_7dav_incidence_num,20200612,,20201017,127,175.42857142857,,
dc,confirmed_7dav_incidence_num,20200612,,20201017,127,65,,
de,confirmed_7dav_incidence_num,20200612,,20201017,127,57.142857142857,,
fl,confirmed_7dav_incidence_num,20200612,,20201017,127,1354.7142857143,,
ga,confirmed_7dav_incidence_num,20200612,,20201017,127,756.57142857143,,
hi,confirmed_7dav_incidence_num,20200612,,20201017,127,6,,
ia,confirmed_7dav_incidence_num,20200612,,20201017,127,296.42857142857,,
id,confirmed_7dav_incidence_num,20200612,,20201017,127,34.285714285714,,
il,confirmed_7dav_incidence_num,20200612,,20201017,127,755.14285714286,,
in,confirmed_7dav_incidence_num,20200612,,20201017,127,367.57142857143,,
ks,confirmed_7dav_incidence_num,20200612,,20201017,127,92.857142857143,,
ky,confirmed_7dav_incidence_num,20200612,,20201017,127,170,,
la,confirmed_7dav_incidence_num,20200612,,20201017,127,425.85714285714,,
ma,confirmed_7dav_incidence_num,20200612,,20201017,127,357.57142857143,,
md,confirmed_7dav_incidence_num,20200612,,20201017,127,550.42857142857,,
me,confirmed_7dav_incidence_num,20200612,,20201017,127,34.142857142857,,
mi,confirmed_7dav_incidence_num,20200612,,20201017,127,304.85714285714,,
mn,confirmed_7dav_incidence_num,20200612,,20201017,127,401.85714285714,,
mo,confirmed_7dav_incidence_num,20200612,,20201017,127,190.57142857143,,
ms,confirmed_7dav_incidence_num,20200612,,20201017,127,331.85714285714,,
mt,confirmed_7dav_incidence_num,20200612,,20201017,127,5.1428571428571,,
nc,confirmed_7dav_incidence_num,20200612,,20201017,127,1142.5714285714,,
nd,confirmed_7dav_incidence_num,20200612,,20201017,127,38.714285714286,,
ne,confirmed_7dav_incidence_num,20200612,,20201017,127,164,,
nh,confirmed_7dav_incidence_num,20200612,,20201017,127,42.571428571429,,
nj,confirmed_7dav_incidence_num,20200612,,20201017,127,396.28571428571,,
nm,confirmed_7dav_incidence_num,20200612,,20201017,127,122,,
nv,confirmed_7dav_incidence_num,20200612,,20201017,127,199.85714285714,,
ny,confirmed_7dav_incidence_num,20200612,,20201017,127,786.57142857143,,
oh,confirmed_7dav_incidence_num,20200612,,20201017,127,380.85714285714,,
ok,confirmed_7dav_incidence_num,20200612,,20201017,127,120.28571428571,,
or,confirmed_7dav_incidence_num,20200612,,20201017,127,115.42857142857,,
pa,confirmed_7dav_incidence_num,20200612,,20201017,127,516.14285714286,,
ri,confirmed_7dav_incidence_num,20200612,,20201017,127,72.285714285714,,
sc,confirmed_7dav_incidence_num,20200612,,20201017,127,532.71428571429,,
sd,confirmed_7dav_incidence_num,20200612,,20201017,127,66.571428571429,,
tn,confirmed_7dav_incidence_num,20200612,,20201017,127,519.14285714286,,
tx,confirmed_7dav_incidence_num,20200612,,20201017,127,1758.4285714286,,
ut,confirmed_7dav_incidence_num,20200612,,20201017,127,330.42857142857,,
va,confirmed_7dav_incidence_num,20200612,,20201017,127,668,,
vt,confirmed_7dav_incidence_num,20200612,,20201017,127,13.142857142857,,
wa,confirmed_7dav_incidence_num,20200612,,20201017,127,311.42857142857,,
wi,confirmed_7dav_incidence_num,20200612,,20201017,127,284.57142857143,,
wv,confirmed_7dav_incidence_num,20200612,,20201017,127,17.142857142857,,
wy,confirmed_7dav_incidence_num,20200612,,20201017,127,13.571428571429,,
