geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.76438042915646,0.12766278719323,
al,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0915747319102,0.057635993559579,
ar,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0471832829776,0.087242059639361,
az,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.99527353125377,0.039960616159431,
ca,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.77315759542937,0.01711414784989,
co,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.3173535308304,0.056033224316043,
ct,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.4615483634458,0.045421647264876,
dc,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.81373641297891,0.12159654234736,
de,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.1813732440735,0.12142366496446,
fl,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.87755441927643,0.023953127058015,
ga,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.93217040463889,0.035283959421463,
hi,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.59691595662158,0.099024514139102,
ia,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0484798293748,0.054906347204197,
id,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.1554537986687,0.10243193255947,
il,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.1852411053557,0.028193391271816,
in,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.1857462695967,0.049966929325841,
ks,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.80847006975605,0.05995560323083,
ky,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.79420642577792,0.051890007098117,
la,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.1295538399197,0.054188239467779,
ma,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.1730350300507,0.052064191160757,
md,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.9142331135858,0.046075727098741,
me,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0079835156969,0.10058547258187,
mi,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.15757019417,0.025086597478211,
mn,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.8020814362037,0.043887495320619,
mo,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.93710635769857,0.049349309998111,
ms,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.9805283550559,0.068117532750777,
mt,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.93911273494341,0.089802750685654,
nc,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.72791103754663,0.028662595147094,
nd,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0193966938026,0.13386686651768,
ne,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.90178154707359,0.083857701667697,
nh,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0249227413936,0.063280566060283,
nj,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.6737297903604,0.057111693357669,
nm,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.88635801494633,0.067441906611393,
nv,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0351297768676,0.088575855181073,
ny,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.7522133643579,0.032229715385382,
oh,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.88043363936333,0.027390399219713,
ok,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0905937516588,0.065050910340246,
or,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.96075878927065,0.064154927189956,
pa,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.0378445456171,0.026615649731282,
ri,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.98705921560955,0.10589641244561,
sc,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.85148159466348,0.044981411377399,
sd,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,1.3796088146602,0.13323302340581,
tn,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.96521545109154,0.05020383127859,
tx,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.87675028351835,0.022554954448507,
ut,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.99022491396414,0.058497576806921,
va,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.90980379099271,0.032545849365017,
vt,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.59870348919482,0.082230912908696,
wa,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.90002835487618,0.036042152184268,
wi,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.88254189891146,0.046727642803376,
wv,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.91735751144307,0.076291976407713,
wy,nmf_day_doc_fbc_fbs_ght,20200425,,20200724,90,0.81270167403295,0.13115690822016,
