geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200513,,20201017,157,1.5714285714286,,
al,confirmed_7dav_incidence_num,20200513,,20201017,157,286.85714285714,,
ar,confirmed_7dav_incidence_num,20200513,,20201017,157,89.714285714286,,
az,confirmed_7dav_incidence_num,20200513,,20201017,157,352.71428571429,,
ca,confirmed_7dav_incidence_num,20200513,,20201017,157,1770.2857142857,,
co,confirmed_7dav_incidence_num,20200513,,20201017,157,376.71428571429,,
ct,confirmed_7dav_incidence_num,20200513,,20201017,157,551.42857142857,,
dc,confirmed_7dav_incidence_num,20200513,,20201017,157,160.42857142857,,
de,confirmed_7dav_incidence_num,20200513,,20201017,157,167.71428571429,,
fl,confirmed_7dav_incidence_num,20200513,,20201017,157,626.71428571429,,
ga,confirmed_7dav_incidence_num,20200513,,20201017,157,564.28571428571,,
hi,confirmed_7dav_incidence_num,20200513,,20201017,157,1.7142857142857,,
ia,confirmed_7dav_incidence_num,20200513,,20201017,157,410.85714285714,,
id,confirmed_7dav_incidence_num,20200513,,20201017,157,23.714285714286,,
il,confirmed_7dav_incidence_num,20200513,,20201017,157,2351.1428571429,,
in,confirmed_7dav_incidence_num,20200513,,20201017,157,515,,
ks,confirmed_7dav_incidence_num,20200513,,20201017,157,251.14285714286,,
ky,confirmed_7dav_incidence_num,20200513,,20201017,157,162.57142857143,,
la,confirmed_7dav_incidence_num,20200513,,20201017,157,317.57142857143,,
ma,confirmed_7dav_incidence_num,20200513,,20201017,157,1210.4285714286,,
md,confirmed_7dav_incidence_num,20200513,,20201017,157,949.85714285714,,
me,confirmed_7dav_incidence_num,20200513,,20201017,157,37.285714285714,,
mi,confirmed_7dav_incidence_num,20200513,,20201017,157,476.85714285714,,
mn,confirmed_7dav_incidence_num,20200513,,20201017,157,619.57142857143,,
mo,confirmed_7dav_incidence_num,20200513,,20201017,157,147.42857142857,,
ms,confirmed_7dav_incidence_num,20200513,,20201017,157,239,,
mt,confirmed_7dav_incidence_num,20200513,,20201017,157,1,,
nc,confirmed_7dav_incidence_num,20200513,,20201017,157,437.14285714286,,
nd,confirmed_7dav_incidence_num,20200513,,20201017,157,46.142857142857,,
ne,confirmed_7dav_incidence_num,20200513,,20201017,157,320.14285714286,,
nh,confirmed_7dav_incidence_num,20200513,,20201017,157,79.714285714286,,
nj,confirmed_7dav_incidence_num,20200513,,20201017,157,1377.7142857143,,
nm,confirmed_7dav_incidence_num,20200513,,20201017,157,144.71428571429,,
nv,confirmed_7dav_incidence_num,20200513,,20201017,157,123.28571428571,,
ny,confirmed_7dav_incidence_num,20200513,,20201017,157,2383.2857142857,,
oh,confirmed_7dav_incidence_num,20200513,,20201017,157,592.14285714286,,
ok,confirmed_7dav_incidence_num,20200513,,20201017,157,93.428571428571,,
or,confirmed_7dav_incidence_num,20200513,,20201017,157,70.285714285714,,
pa,confirmed_7dav_incidence_num,20200513,,20201017,157,980.14285714286,,
ri,confirmed_7dav_incidence_num,20200513,,20201017,157,219.85714285714,,
sc,confirmed_7dav_incidence_num,20200513,,20201017,157,155.85714285714,,
sd,confirmed_7dav_incidence_num,20200513,,20201017,157,136,,
tn,confirmed_7dav_incidence_num,20200513,,20201017,157,348.42857142857,,
tx,confirmed_7dav_incidence_num,20200513,,20201017,157,1158,,
ut,confirmed_7dav_incidence_num,20200513,,20201017,157,146.14285714286,,
va,confirmed_7dav_incidence_num,20200513,,20201017,157,925.85714285714,,
vt,confirmed_7dav_incidence_num,20200513,,20201017,157,3.2857142857143,,
wa,confirmed_7dav_incidence_num,20200513,,20201017,157,229.28571428571,,
wi,confirmed_7dav_incidence_num,20200513,,20201017,157,286.14285714286,,
wv,confirmed_7dav_incidence_num,20200513,,20201017,157,18.571428571429,,
wy,confirmed_7dav_incidence_num,20200513,,20201017,157,6.2857142857143,,
