geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200425,,20201017,175,3.5714285714286,,
al,confirmed_7dav_incidence_num,20200425,,20201017,175,213.42857142857,,
ar,confirmed_7dav_incidence_num,20200425,,20201017,175,161.57142857143,,
az,confirmed_7dav_incidence_num,20200425,,20201017,175,223.14285714286,,
ca,confirmed_7dav_incidence_num,20200425,,20201017,175,1676.5714285714,,
co,confirmed_7dav_incidence_num,20200425,,20201017,175,494,,
ct,confirmed_7dav_incidence_num,20200425,,20201017,175,1004.5714285714,,
dc,confirmed_7dav_incidence_num,20200425,,20201017,175,147.57142857143,,
de,confirmed_7dav_incidence_num,20200425,,20201017,175,148.28571428571,,
fl,confirmed_7dav_incidence_num,20200425,,20201017,175,763.57142857143,,
ga,confirmed_7dav_incidence_num,20200425,,20201017,175,712.28571428571,,
hi,confirmed_7dav_incidence_num,20200425,,20201017,175,4.2857142857143,,
ia,confirmed_7dav_incidence_num,20200425,,20201017,175,368.42857142857,,
id,confirmed_7dav_incidence_num,20200425,,20201017,175,31,,
il,confirmed_7dav_incidence_num,20200425,,20201017,175,1805.5714285714,,
in,confirmed_7dav_incidence_num,20200425,,20201017,175,523.57142857143,,
ks,confirmed_7dav_incidence_num,20200425,,20201017,175,181,,
ky,confirmed_7dav_incidence_num,20200425,,20201017,175,171.85714285714,,
la,confirmed_7dav_incidence_num,20200425,,20201017,175,418.85714285714,,
ma,confirmed_7dav_incidence_num,20200425,,20201017,175,2425.1428571429,,
md,confirmed_7dav_incidence_num,20200425,,20201017,175,779.85714285714,,
me,confirmed_7dav_incidence_num,20200425,,20201017,175,20.428571428571,,
mi,confirmed_7dav_incidence_num,20200425,,20201017,175,915.71428571429,,
mn,confirmed_7dav_incidence_num,20200425,,20201017,175,131.42857142857,,
mo,confirmed_7dav_incidence_num,20200425,,20201017,175,183.71428571429,,
ms,confirmed_7dav_incidence_num,20200425,,20201017,175,248.28571428571,,
mt,confirmed_7dav_incidence_num,20200425,,20201017,175,2.7142857142857,,
nc,confirmed_7dav_incidence_num,20200425,,20201017,175,301.85714285714,,
nd,confirmed_7dav_incidence_num,20200425,,20201017,175,58.571428571429,,
ne,confirmed_7dav_incidence_num,20200425,,20201017,175,175.85714285714,,
nh,confirmed_7dav_incidence_num,20200425,,20201017,175,64,,
nj,confirmed_7dav_incidence_num,20200425,,20201017,175,3479.1428571429,,
nm,confirmed_7dav_incidence_num,20200425,,20201017,175,123.14285714286,,
nv,confirmed_7dav_incidence_num,20200425,,20201017,175,131.14285714286,,
ny,confirmed_7dav_incidence_num,20200425,,20201017,175,6497.1428571429,,
oh,confirmed_7dav_incidence_num,20200425,,20201017,175,764.14285714286,,
ok,confirmed_7dav_incidence_num,20200425,,20201017,175,119.57142857143,,
or,confirmed_7dav_incidence_num,20200425,,20201017,175,58.714285714286,,
pa,confirmed_7dav_incidence_num,20200425,,20201017,175,1282.8571428571,,
ri,confirmed_7dav_incidence_num,20200425,,20201017,175,340.57142857143,,
sc,confirmed_7dav_incidence_num,20200425,,20201017,175,143.14285714286,,
sd,confirmed_7dav_incidence_num,20200425,,20201017,175,86.571428571429,,
tn,confirmed_7dav_incidence_num,20200425,,20201017,175,347.57142857143,,
tx,confirmed_7dav_incidence_num,20200425,,20201017,175,787.28571428571,,
ut,confirmed_7dav_incidence_num,20200425,,20201017,175,144.85714285714,,
va,confirmed_7dav_incidence_num,20200425,,20201017,175,703.71428571429,,
vt,confirmed_7dav_incidence_num,20200425,,20201017,175,5.5714285714286,,
wa,confirmed_7dav_incidence_num,20200425,,20201017,175,216.57142857143,,
wi,confirmed_7dav_incidence_num,20200425,,20201017,175,213,,
wv,confirmed_7dav_incidence_num,20200425,,20201017,175,29,,
wy,confirmed_7dav_incidence_num,20200425,,20201017,175,7.2857142857143,,
