geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200511,,20201017,159,1.5714285714286,,
al,confirmed_7dav_incidence_num,20200511,,20201017,159,293.42857142857,,
ar,confirmed_7dav_incidence_num,20200511,,20201017,159,82.428571428571,,
az,confirmed_7dav_incidence_num,20200511,,20201017,159,351.42857142857,,
ca,confirmed_7dav_incidence_num,20200511,,20201017,159,1889.4285714286,,
co,confirmed_7dav_incidence_num,20200511,,20201017,159,424.71428571429,,
ct,confirmed_7dav_incidence_num,20200511,,20201017,159,541.71428571429,,
dc,confirmed_7dav_incidence_num,20200511,,20201017,159,174.14285714286,,
de,confirmed_7dav_incidence_num,20200511,,20201017,159,181,,
fl,confirmed_7dav_incidence_num,20200511,,20201017,159,583.85714285714,,
ga,confirmed_7dav_incidence_num,20200511,,20201017,159,651.28571428571,,
hi,confirmed_7dav_incidence_num,20200511,,20201017,159,2,,
ia,confirmed_7dav_incidence_num,20200511,,20201017,159,380.28571428571,,
id,confirmed_7dav_incidence_num,20200511,,20201017,159,22,,
il,confirmed_7dav_incidence_num,20200511,,20201017,159,2167.4285714286,,
in,confirmed_7dav_incidence_num,20200511,,20201017,159,588.28571428571,,
ks,confirmed_7dav_incidence_num,20200511,,20201017,159,267,,
ky,confirmed_7dav_incidence_num,20200511,,20201017,159,205.14285714286,,
la,confirmed_7dav_incidence_num,20200511,,20201017,159,304.85714285714,,
ma,confirmed_7dav_incidence_num,20200511,,20201017,159,1339.2857142857,,
md,confirmed_7dav_incidence_num,20200511,,20201017,159,997.71428571429,,
me,confirmed_7dav_incidence_num,20200511,,20201017,159,36.714285714286,,
mi,confirmed_7dav_incidence_num,20200511,,20201017,159,513.85714285714,,
mn,confirmed_7dav_incidence_num,20200511,,20201017,159,654.57142857143,,
mo,confirmed_7dav_incidence_num,20200511,,20201017,159,165.14285714286,,
ms,confirmed_7dav_incidence_num,20200511,,20201017,159,256.71428571429,,
mt,confirmed_7dav_incidence_num,20200511,,20201017,159,0.57142857142857,,
nc,confirmed_7dav_incidence_num,20200511,,20201017,159,456.14285714286,,
nd,confirmed_7dav_incidence_num,20200511,,20201017,159,41.428571428571,,
ne,confirmed_7dav_incidence_num,20200511,,20201017,159,343.14285714286,,
nh,confirmed_7dav_incidence_num,20200511,,20201017,159,81.571428571429,,
nj,confirmed_7dav_incidence_num,20200511,,20201017,159,1668,,
nm,confirmed_7dav_incidence_num,20200511,,20201017,159,143.57142857143,,
nv,confirmed_7dav_incidence_num,20200511,,20201017,159,95.428571428571,,
ny,confirmed_7dav_incidence_num,20200511,,20201017,159,2586,,
oh,confirmed_7dav_incidence_num,20200511,,20201017,159,614,,
ok,confirmed_7dav_incidence_num,20200511,,20201017,159,80,,
or,confirmed_7dav_incidence_num,20200511,,20201017,159,74.714285714286,,
pa,confirmed_7dav_incidence_num,20200511,,20201017,159,1008.1428571429,,
ri,confirmed_7dav_incidence_num,20200511,,20201017,159,289.28571428571,,
sc,confirmed_7dav_incidence_num,20200511,,20201017,159,147.42857142857,,
sd,confirmed_7dav_incidence_num,20200511,,20201017,159,135.14285714286,,
tn,confirmed_7dav_incidence_num,20200511,,20201017,159,287.57142857143,,
tx,confirmed_7dav_incidence_num,20200511,,20201017,159,1094.7142857143,,
ut,confirmed_7dav_incidence_num,20200511,,20201017,159,149.28571428571,,
va,confirmed_7dav_incidence_num,20200511,,20201017,159,796,,
vt,confirmed_7dav_incidence_num,20200511,,20201017,159,3.4285714285714,,
wa,confirmed_7dav_incidence_num,20200511,,20201017,159,237.28571428571,,
wi,confirmed_7dav_incidence_num,20200511,,20201017,159,311.71428571429,,
wv,confirmed_7dav_incidence_num,20200511,,20201017,159,20.857142857143,,
wy,confirmed_7dav_incidence_num,20200511,,20201017,159,9.4285714285714,,
