geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.45364876329932,0.065171302156656,
al,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.81112704906742,0.034809615366772,
ar,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.66333684404415,0.056617180280823,
az,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.71310606264153,0.028493966448515,
ca,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.4937041873952,0.013009602581635,
co,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.60596313565272,0.028460388925471,
ct,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.75491121037509,0.037433705502742,
dc,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.85572069036421,0.088428839015931,
de,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.62975879563703,0.060710245432169,
fl,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.46281184965678,0.015420395602792,
ga,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.60456464532984,0.022516440662525,
hi,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.30518471329823,0.03653643735901,
ia,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.82451892430896,0.038771918917904,
id,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.58184843217223,0.044910017352057,
il,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.75443786498724,0.022890870717553,
in,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.74308514242262,0.029739629194894,
ks,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.62752645074034,0.036100124857028,
ky,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.60257346659462,0.035218993745731,
la,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.77524960851431,0.029426676129677,
ma,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.63200305347234,0.022151884283486,
md,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.85364465968076,0.034519747597981,
me,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.33134223580952,0.026167578085719,
mi,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.54789442379592,0.022876707078913,
mn,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.66527284032722,0.03553848939669,
mo,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.74200098489142,0.027960147512841,
ms,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.81198535821934,0.049078961220035,
mt,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.4051134936699,0.043629800770835,
nc,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.58327417524416,0.016446663121474,
nd,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.72517741813852,0.067840926362058,
ne,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.84960865878105,0.052671555319825,
nh,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.50412780067243,0.036939390926037,
nj,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.89336011758978,0.033359402238913,
nm,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.56949941263538,0.046336710585537,
nv,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.53479940438951,0.043146718681167,
ny,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.7962691724287,0.019278833824583,
oh,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.48371044043528,0.016416106055899,
ok,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.58169807073577,0.040736797988596,
or,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.41350074354292,0.030611384485226,
pa,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.51523410980217,0.017784464350391,
pr,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.30146631798907,0.128492831226,
ri,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.64527987889656,0.057131931956737,
sc,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.50717327490825,0.025250419396637,
sd,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.79783652226161,0.049774110103177,
tn,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.62195851327319,0.025753538157873,
tx,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.56639444450014,0.013862347207793,
ut,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.65937707939787,0.034798686377876,
va,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.72720480727258,0.027960489937302,
vt,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.47714703662868,0.048000701672561,
wa,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.46134015633947,0.021151789492486,
wi,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.54248703145467,0.025144704869456,
wv,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.545571530618,0.039692461366407,
wy,nmf_day_doc_fbc_fbs_ght,20200601,,20200830,90,0.54510440774961,0.077215868592165,
