geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.73315068329179,0.093660084272672,
al,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.8174439751291,0.034810437527862,
ar,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.80731634519825,0.058269442373887,
az,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.80003479123969,0.032555017004418,
ca,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.63787746093034,0.013129657829503,
co,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.0923806540385,0.033067838894414,
ct,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.2512797535434,0.038236512877013,
dc,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.1715634075602,0.12983096645024,
de,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.79707133806054,0.064033193834165,
fl,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.64741561256481,0.01301629965877,
ga,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.82480677868176,0.029072613477342,
hi,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.42169614191419,0.061732905963292,
ia,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.94638969425618,0.042951064076517,
id,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.70622914904182,0.060690151237812,
il,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.226497042937,0.0213516591156,
in,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.91310899119554,0.035298578212975,
ks,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.61075304354456,0.037846886363639,
ky,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.82491907421548,0.039293292588688,
la,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.94768254323692,0.037221701779192,
ma,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.94341421026571,0.030555215089862,
md,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.1531584628291,0.042962726086114,
me,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.66015363349416,0.058004006663445,
mi,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.91080776728864,0.022994115655461,
mn,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.9920508286834,0.038915100409103,
mo,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.63919247018855,0.03602019077609,
ms,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.0782010712727,0.044983351187357,
mt,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.46968268209767,0.071553340910342,
nc,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.65072650367643,0.02217339835273,
nd,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.60837288843522,0.073275323623703,
ne,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.0530239313261,0.050150098339406,
nh,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.78184766641684,0.056307509218196,
nj,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.5740642673816,0.037971048841189,
nm,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.8683745537955,0.062974181435644,
nv,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.71298243467601,0.059267109281535,
ny,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.8972717435374,0.024565389997919,
oh,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.60229569980732,0.020139823098966,
ok,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.69404535695216,0.041607494088396,
or,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.67932762455775,0.038020948801666,
pa,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.74201343899368,0.015233936751103,
ri,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.80360847521179,0.055938040485718,
sc,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.72243442336817,0.027797955908553,
sd,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.0135314453331,0.069506546628756,
tn,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.74315748932695,0.033392620425019,
tx,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.74861428907137,0.01712338964664,
ut,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.76339014268251,0.038520984803143,
va,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.82495535241748,0.019973322571931,
vt,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.63491337691266,0.090105006420714,
wa,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.57929389068979,0.027575726265824,
wi,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.64249304431802,0.027673753594019,
wv,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,0.86187409954308,0.049858059762601,
wy,nmf_day_doc_fbc_fbs_ght,20200508,,20200806,90,1.1547927279077,0.16240309431937,
