geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200503,,20201017,167,3.8571428571429,,
al,confirmed_7dav_incidence_num,20200503,,20201017,167,209.71428571429,,
ar,confirmed_7dav_incidence_num,20200503,,20201017,167,59.857142857143,,
az,confirmed_7dav_incidence_num,20200503,,20201017,167,302,,
ca,confirmed_7dav_incidence_num,20200503,,20201017,167,1610.5714285714,,
co,confirmed_7dav_incidence_num,20200503,,20201017,167,467,,
ct,confirmed_7dav_incidence_num,20200503,,20201017,167,574,,
dc,confirmed_7dav_incidence_num,20200503,,20201017,167,167.85714285714,,
de,confirmed_7dav_incidence_num,20200503,,20201017,167,167.71428571429,,
fl,confirmed_7dav_incidence_num,20200503,,20201017,167,650.14285714286,,
ga,confirmed_7dav_incidence_num,20200503,,20201017,167,728.28571428571,,
hi,confirmed_7dav_incidence_num,20200503,,20201017,167,2,,
ia,confirmed_7dav_incidence_num,20200503,,20201017,167,529.71428571429,,
id,confirmed_7dav_incidence_num,20200503,,20201017,167,24,,
il,confirmed_7dav_incidence_num,20200503,,20201017,167,2512.8571428571,,
in,confirmed_7dav_incidence_num,20200503,,20201017,167,702.71428571429,,
ks,confirmed_7dav_incidence_num,20200503,,20201017,167,265.14285714286,,
ky,confirmed_7dav_incidence_num,20200503,,20201017,167,151.14285714286,,
la,confirmed_7dav_incidence_num,20200503,,20201017,167,366.42857142857,,
ma,confirmed_7dav_incidence_num,20200503,,20201017,167,1894.8571428571,,
md,confirmed_7dav_incidence_num,20200503,,20201017,167,983.14285714286,,
me,confirmed_7dav_incidence_num,20200503,,20201017,167,24.285714285714,,
mi,confirmed_7dav_incidence_num,20200503,,20201017,167,849,,
mn,confirmed_7dav_incidence_num,20200503,,20201017,167,486.14285714286,,
mo,confirmed_7dav_incidence_num,20200503,,20201017,167,197.14285714286,,
ms,confirmed_7dav_incidence_num,20200503,,20201017,167,234.85714285714,,
mt,confirmed_7dav_incidence_num,20200503,,20201017,167,0.85714285714286,,
nc,confirmed_7dav_incidence_num,20200503,,20201017,167,454.85714285714,,
nd,confirmed_7dav_incidence_num,20200503,,20201017,167,46.285714285714,,
ne,confirmed_7dav_incidence_num,20200503,,20201017,167,440,,
nh,confirmed_7dav_incidence_num,20200503,,20201017,167,93.428571428571,,
nj,confirmed_7dav_incidence_num,20200503,,20201017,167,2468.4285714286,,
nm,confirmed_7dav_incidence_num,20200503,,20201017,167,160.71428571429,,
nv,confirmed_7dav_incidence_num,20200503,,20201017,167,121.14285714286,,
ny,confirmed_7dav_incidence_num,20200503,,20201017,167,4052.8571428571,,
oh,confirmed_7dav_incidence_num,20200503,,20201017,167,567,,
ok,confirmed_7dav_incidence_num,20200503,,20201017,167,102.85714285714,,
or,confirmed_7dav_incidence_num,20200503,,20201017,167,52.714285714286,,
pa,confirmed_7dav_incidence_num,20200503,,20201017,167,1156.5714285714,,
ri,confirmed_7dav_incidence_num,20200503,,20201017,167,287.71428571429,,
sc,confirmed_7dav_incidence_num,20200503,,20201017,167,196.28571428571,,
sd,confirmed_7dav_incidence_num,20200503,,20201017,167,59.714285714286,,
tn,confirmed_7dav_incidence_num,20200503,,20201017,167,502,,
tx,confirmed_7dav_incidence_num,20200503,,20201017,167,968.14285714286,,
ut,confirmed_7dav_incidence_num,20200503,,20201017,167,150.57142857143,,
va,confirmed_7dav_incidence_num,20200503,,20201017,167,814.14285714286,,
vt,confirmed_7dav_incidence_num,20200503,,20201017,167,6.8571428571429,,
wa,confirmed_7dav_incidence_num,20200503,,20201017,167,237.28571428571,,
wi,confirmed_7dav_incidence_num,20200503,,20201017,167,293.28571428571,,
wv,confirmed_7dav_incidence_num,20200503,,20201017,167,20.142857142857,,
wy,confirmed_7dav_incidence_num,20200503,,20201017,167,9.7142857142857,,
