geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.67695619535131,0.073334801373448,
al,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.82897622407015,0.053350696075274,
ar,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.90574375274288,0.061989563991224,
az,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.68704016489567,0.034581764411065,
ca,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.50163161467378,0.019233111849979,
co,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.59474786921044,0.032804694308746,
ct,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.70275564392355,0.04015933953334,
dc,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.84558819108332,0.089889868391978,
de,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.58480188105958,0.069055240925243,
fl,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.5011297016351,0.017993065528385,
ga,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.63423595278143,0.032009128935641,
hi,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.30613032971427,0.055000088559013,
ia,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.70020845192175,0.043707598362239,
id,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.36178607818814,0.029507361235438,
il,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.57150929521172,0.025746297343902,
in,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.68667148294639,0.038071117351956,
ks,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.54440589464116,0.05122722885835,
ky,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.61723469601226,0.045167491001693,
la,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.72580015358327,0.046129094593637,
ma,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.46281203656268,0.024326877274094,
md,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.7148985723811,0.047250027358975,
me,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.41334281575937,0.042615578640443,
mi,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.5031138099473,0.027940811936135,
mn,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.62737523058886,0.042312291269148,
mo,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.62687239623218,0.033886404997645,
ms,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.88399763543532,0.055928796760472,
mt,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.34646648998765,0.050894295661568,
nc,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.55710814128226,0.023775741761091,
nd,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.86188085542794,0.11686738111476,
ne,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.73720868462851,0.057951688050913,
nh,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.52750242495584,0.047957551299393,
nj,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.69089427782964,0.034571722008903,
nm,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.58365330880851,0.05342869396945,
nv,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.58142532836835,0.051978545797551,
ny,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.64040565456155,0.020938500171315,
oh,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.46502901443796,0.021216144161013,
ok,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.49064667683503,0.044897101771152,
or,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.41534546859149,0.032662702712716,
pa,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.44260845018508,0.021175161064263,
pr,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.60033699144012,0.50192521851302,
ri,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.47397470917579,0.064537284048872,
sc,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.62541596760894,0.03803926016456,
sd,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.56665350671338,0.068896790666408,
tn,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.56289967719544,0.033738184420263,
tx,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.58266164864684,0.017779975828665,
ut,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.6138079963058,0.046222627108264,
va,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.57646201239141,0.025896487362332,
vt,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.35337847915927,0.058542992325869,
wa,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.41399455097246,0.026736015248405,
wi,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.46770868776537,0.027187580302048,
wv,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.58744954568867,0.036731940116117,
wy,nmf_day_doc_fbc_fbs_ght,20200608,,20200910,94,0.58650183450611,0.094682219067177,
