geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.60337702352389,0.076189444600251,
al,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.82114606331928,0.039834711689048,
ar,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.85853514159464,0.051250647657495,
az,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.68839166925529,0.031381940332301,
ca,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.47408901865836,0.01271675009013,
co,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.55390335997605,0.025264931848744,
ct,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.6150680836108,0.026857100346044,
dc,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.85440199336392,0.081126280094056,
de,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.62951460414594,0.070531023312307,
fl,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.47488547982164,0.014709567927452,
ga,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.57295729651929,0.026615208161322,
hi,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.31310996470122,0.047674512624998,
ia,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.62853096558112,0.029818428249161,
id,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.41080533143017,0.042985475922014,
il,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.5970593828212,0.020692774516449,
in,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.67728213981174,0.032394632479876,
ks,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.4872956691304,0.040942144940157,
ky,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.55226581007239,0.030703246398757,
la,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.71301725512267,0.033230853056828,
ma,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.47627148933418,0.023453734399258,
md,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.74565188870236,0.034734385304809,
me,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.33080828608437,0.035457244169488,
mi,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.49719207327217,0.017179263860433,
mn,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.67353876268587,0.035234125374116,
mo,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.61879632093281,0.028092518045136,
ms,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.80981348001689,0.046759272844499,
mt,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.35735521519758,0.042173330122164,
nc,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.51162697163633,0.018003780432074,
nd,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,1.076884111628,0.11379914674082,
ne,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.7431656395133,0.044264503820048,
nh,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.53532038292657,0.041149399854276,
nj,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.70814680641476,0.022344832034661,
nm,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.58003832899826,0.04405167272567,
nv,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.61402228439295,0.058667652575394,
ny,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.67035767716013,0.01850209627961,
oh,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.46432812758719,0.018504923510945,
ok,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.49752420359118,0.036706208473519,
or,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.3442168141601,0.023774749503561,
pa,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.46829834249121,0.016251653776256,
pr,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.54604284135947,0.31476445318641,
ri,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.53794912165926,0.050544001367903,
sc,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.55544827978672,0.025737929506471,
sd,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.55227204198968,0.05434203735059,
tn,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.54479867794843,0.027155238710153,
tx,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.56355929141765,0.015791183297991,
ut,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.7267565787004,0.041694254281491,
va,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.58231796353551,0.023611600613928,
vt,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.5249246700151,0.060741989522168,
wa,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.42253787643761,0.021385751239784,
wi,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.453419181149,0.022911093447194,
wv,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.54493894570425,0.044753740570224,
wy,nmf_day_doc_fbc_fbs_ght,20200606,,20200910,96,0.59921874603638,0.08870943611846,
