geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200619,,20201017,120,13.714285714286,,
al,confirmed_7dav_incidence_num,20200619,,20201017,120,809.85714285714,,
ar,confirmed_7dav_incidence_num,20200619,,20201017,120,440,,
az,confirmed_7dav_incidence_num,20200619,,20201017,120,1967.1428571429,,
ca,confirmed_7dav_incidence_num,20200619,,20201017,120,3382.5714285714,,
co,confirmed_7dav_incidence_num,20200619,,20201017,120,195.14285714286,,
ct,confirmed_7dav_incidence_num,20200619,,20201017,120,124.14285714286,,
dc,confirmed_7dav_incidence_num,20200619,,20201017,120,42.571428571429,,
de,confirmed_7dav_incidence_num,20200619,,20201017,120,62.571428571429,,
fl,confirmed_7dav_incidence_num,20200619,,20201017,120,2682.5714285714,,
ga,confirmed_7dav_incidence_num,20200619,,20201017,120,899.28571428571,,
hi,confirmed_7dav_incidence_num,20200619,,20201017,120,11.857142857143,,
ia,confirmed_7dav_incidence_num,20200619,,20201017,120,285.28571428571,,
id,confirmed_7dav_incidence_num,20200619,,20201017,120,74.285714285714,,
il,confirmed_7dav_incidence_num,20200619,,20201017,120,610.71428571429,,
in,confirmed_7dav_incidence_num,20200619,,20201017,120,370.57142857143,,
ks,confirmed_7dav_incidence_num,20200619,,20201017,120,146,,
ky,confirmed_7dav_incidence_num,20200619,,20201017,120,183.71428571429,,
la,confirmed_7dav_incidence_num,20200619,,20201017,120,506.85714285714,,
ma,confirmed_7dav_incidence_num,20200619,,20201017,120,227.28571428571,,
md,confirmed_7dav_incidence_num,20200619,,20201017,120,413.28571428571,,
me,confirmed_7dav_incidence_num,20200619,,20201017,120,27.428571428571,,
mi,confirmed_7dav_incidence_num,20200619,,20201017,120,201.42857142857,,
mn,confirmed_7dav_incidence_num,20200619,,20201017,120,319.71428571429,,
mo,confirmed_7dav_incidence_num,20200619,,20201017,120,230.85714285714,,
ms,confirmed_7dav_incidence_num,20200619,,20201017,120,215.28571428571,,
mt,confirmed_7dav_incidence_num,20200619,,20201017,120,13.285714285714,,
nc,confirmed_7dav_incidence_num,20200619,,20201017,120,1223,,
nd,confirmed_7dav_incidence_num,20200619,,20201017,120,29.857142857143,,
ne,confirmed_7dav_incidence_num,20200619,,20201017,120,153.71428571429,,
nh,confirmed_7dav_incidence_num,20200619,,20201017,120,33.857142857143,,
nj,confirmed_7dav_incidence_num,20200619,,20201017,120,338.14285714286,,
nm,confirmed_7dav_incidence_num,20200619,,20201017,120,105,,
nv,confirmed_7dav_incidence_num,20200619,,20201017,120,258.85714285714,,
ny,confirmed_7dav_incidence_num,20200619,,20201017,120,691.71428571429,,
oh,confirmed_7dav_incidence_num,20200619,,20201017,120,472,,
ok,confirmed_7dav_incidence_num,20200619,,20201017,120,265.71428571429,,
or,confirmed_7dav_incidence_num,20200619,,20201017,120,170.57142857143,,
pa,confirmed_7dav_incidence_num,20200619,,20201017,120,394.57142857143,,
ri,confirmed_7dav_incidence_num,20200619,,20201017,120,55.714285714286,,
sc,confirmed_7dav_incidence_num,20200619,,20201017,120,776.85714285714,,
sd,confirmed_7dav_incidence_num,20200619,,20201017,120,56.857142857143,,
tn,confirmed_7dav_incidence_num,20200619,,20201017,120,693.28571428571,,
tx,confirmed_7dav_incidence_num,20200619,,20201017,120,2779.5714285714,,
ut,confirmed_7dav_incidence_num,20200619,,20201017,120,413.85714285714,,
va,confirmed_7dav_incidence_num,20200619,,20201017,120,510.85714285714,,
vt,confirmed_7dav_incidence_num,20200619,,20201017,120,3.5714285714286,,
wa,confirmed_7dav_incidence_num,20200619,,20201017,120,346.85714285714,,
wi,confirmed_7dav_incidence_num,20200619,,20201017,120,273.28571428571,,
wv,confirmed_7dav_incidence_num,20200619,,20201017,120,29.285714285714,,
wy,confirmed_7dav_incidence_num,20200619,,20201017,120,20.857142857143,,
