geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200501,,20201017,169,3.5714285714286,,
al,confirmed_7dav_incidence_num,20200501,,20201017,169,181.14285714286,,
ar,confirmed_7dav_incidence_num,20200501,,20201017,169,71,,
az,confirmed_7dav_incidence_num,20200501,,20201017,169,274,,
ca,confirmed_7dav_incidence_num,20200501,,20201017,169,1562.2857142857,,
co,confirmed_7dav_incidence_num,20200501,,20201017,169,513.57142857143,,
ct,confirmed_7dav_incidence_num,20200501,,20201017,169,691.85714285714,,
dc,confirmed_7dav_incidence_num,20200501,,20201017,169,161.42857142857,,
de,confirmed_7dav_incidence_num,20200501,,20201017,169,210.85714285714,,
fl,confirmed_7dav_incidence_num,20200501,,20201017,169,598.85714285714,,
ga,confirmed_7dav_incidence_num,20200501,,20201017,169,684.42857142857,,
hi,confirmed_7dav_incidence_num,20200501,,20201017,169,2.7142857142857,,
ia,confirmed_7dav_incidence_num,20200501,,20201017,169,490.71428571429,,
id,confirmed_7dav_incidence_num,20200501,,20201017,169,24.285714285714,,
il,confirmed_7dav_incidence_num,20200501,,20201017,169,2342.7142857143,,
in,confirmed_7dav_incidence_num,20200501,,20201017,169,716,,
ks,confirmed_7dav_incidence_num,20200501,,20201017,169,239,,
ky,confirmed_7dav_incidence_num,20200501,,20201017,169,158.71428571429,,
la,confirmed_7dav_incidence_num,20200501,,20201017,169,366.57142857143,,
ma,confirmed_7dav_incidence_num,20200501,,20201017,169,1906,,
md,confirmed_7dav_incidence_num,20200501,,20201017,169,978.42857142857,,
me,confirmed_7dav_incidence_num,20200501,,20201017,169,22.428571428571,,
mi,confirmed_7dav_incidence_num,20200501,,20201017,169,814.14285714286,,
mn,confirmed_7dav_incidence_num,20200501,,20201017,169,394,,
mo,confirmed_7dav_incidence_num,20200501,,20201017,169,168.85714285714,,
ms,confirmed_7dav_incidence_num,20200501,,20201017,169,254.28571428571,,
mt,confirmed_7dav_incidence_num,20200501,,20201017,169,1.1428571428571,,
nc,confirmed_7dav_incidence_num,20200501,,20201017,169,448.28571428571,,
nd,confirmed_7dav_incidence_num,20200501,,20201017,169,51.285714285714,,
ne,confirmed_7dav_incidence_num,20200501,,20201017,169,381.57142857143,,
nh,confirmed_7dav_incidence_num,20200501,,20201017,169,84.428571428571,,
nj,confirmed_7dav_incidence_num,20200501,,20201017,169,2631.1428571429,,
nm,confirmed_7dav_incidence_num,20200501,,20201017,169,141.71428571429,,
nv,confirmed_7dav_incidence_num,20200501,,20201017,169,100.28571428571,,
ny,confirmed_7dav_incidence_num,20200501,,20201017,169,5246.2857142857,,
oh,confirmed_7dav_incidence_num,20200501,,20201017,169,511.71428571429,,
ok,confirmed_7dav_incidence_num,20200501,,20201017,169,104.71428571429,,
or,confirmed_7dav_incidence_num,20200501,,20201017,169,57.285714285714,,
pa,confirmed_7dav_incidence_num,20200501,,20201017,169,1188,,
ri,confirmed_7dav_incidence_num,20200501,,20201017,169,320.57142857143,,
sc,confirmed_7dav_incidence_num,20200501,,20201017,169,169.42857142857,,
sd,confirmed_7dav_incidence_num,20200501,,20201017,169,69.285714285714,,
tn,confirmed_7dav_incidence_num,20200501,,20201017,169,452.42857142857,,
tx,confirmed_7dav_incidence_num,20200501,,20201017,169,901.42857142857,,
ut,confirmed_7dav_incidence_num,20200501,,20201017,169,150.71428571429,,
va,confirmed_7dav_incidence_num,20200501,,20201017,169,647.57142857143,,
vt,confirmed_7dav_incidence_num,20200501,,20201017,169,7.4285714285714,,
wa,confirmed_7dav_incidence_num,20200501,,20201017,169,236.71428571429,,
wi,confirmed_7dav_incidence_num,20200501,,20201017,169,279.85714285714,,
wv,confirmed_7dav_incidence_num,20200501,,20201017,169,18.857142857143,,
wy,confirmed_7dav_incidence_num,20200501,,20201017,169,10.142857142857,,
