geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200628,,20201017,111,17.571428571429,,
al,confirmed_7dav_incidence_num,20200628,,20201017,111,772.71428571429,,
ar,confirmed_7dav_incidence_num,20200628,,20201017,111,607.42857142857,,
az,confirmed_7dav_incidence_num,20200628,,20201017,111,3074,,
ca,confirmed_7dav_incidence_num,20200628,,20201017,111,5259.4285714286,,
co,confirmed_7dav_incidence_num,20200628,,20201017,111,252.57142857143,,
ct,confirmed_7dav_incidence_num,20200628,,20201017,111,78.571428571429,,
dc,confirmed_7dav_incidence_num,20200628,,20201017,111,32.571428571429,,
de,confirmed_7dav_incidence_num,20200628,,20201017,111,63.857142857143,,
fl,confirmed_7dav_incidence_num,20200628,,20201017,111,6257.4285714286,,
ga,confirmed_7dav_incidence_num,20200628,,20201017,111,1785.1428571429,,
hi,confirmed_7dav_incidence_num,20200628,,20201017,111,12,,
ia,confirmed_7dav_incidence_num,20200628,,20201017,111,362.85714285714,,
id,confirmed_7dav_incidence_num,20200628,,20201017,111,187.85714285714,,
il,confirmed_7dav_incidence_num,20200628,,20201017,111,709,,
in,confirmed_7dav_incidence_num,20200628,,20201017,111,359,,
ks,confirmed_7dav_incidence_num,20200628,,20201017,111,234.57142857143,,
ky,confirmed_7dav_incidence_num,20200628,,20201017,111,212.42857142857,,
la,confirmed_7dav_incidence_num,20200628,,20201017,111,923,,
ma,confirmed_7dav_incidence_num,20200628,,20201017,111,229.42857142857,,
md,confirmed_7dav_incidence_num,20200628,,20201017,111,378.28571428571,,
me,confirmed_7dav_incidence_num,20200628,,20201017,111,33.428571428571,,
mi,confirmed_7dav_incidence_num,20200628,,20201017,111,322.28571428571,,
mn,confirmed_7dav_incidence_num,20200628,,20201017,111,375.71428571429,,
mo,confirmed_7dav_incidence_num,20200628,,20201017,111,326.71428571429,,
ms,confirmed_7dav_incidence_num,20200628,,20201017,111,756.57142857143,,
mt,confirmed_7dav_incidence_num,20200628,,20201017,111,22.571428571429,,
nc,confirmed_7dav_incidence_num,20200628,,20201017,111,1335.5714285714,,
nd,confirmed_7dav_incidence_num,20200628,,20201017,111,29.571428571429,,
ne,confirmed_7dav_incidence_num,20200628,,20201017,111,157.14285714286,,
nh,confirmed_7dav_incidence_num,20200628,,20201017,111,29,,
nj,confirmed_7dav_incidence_num,20200628,,20201017,111,284,,
nm,confirmed_7dav_incidence_num,20200628,,20201017,111,177.57142857143,,
nv,confirmed_7dav_incidence_num,20200628,,20201017,111,565,,
ny,confirmed_7dav_incidence_num,20200628,,20201017,111,657.57142857143,,
oh,confirmed_7dav_incidence_num,20200628,,20201017,111,785.85714285714,,
ok,confirmed_7dav_incidence_num,20200628,,20201017,111,346.42857142857,,
or,confirmed_7dav_incidence_num,20200628,,20201017,111,200.42857142857,,
pa,confirmed_7dav_incidence_num,20200628,,20201017,111,536.42857142857,,
ri,confirmed_7dav_incidence_num,20200628,,20201017,111,46.285714285714,,
sc,confirmed_7dav_incidence_num,20200628,,20201017,111,1223.1428571429,,
sd,confirmed_7dav_incidence_num,20200628,,20201017,111,54.285714285714,,
tn,confirmed_7dav_incidence_num,20200628,,20201017,111,765,,
tx,confirmed_7dav_incidence_num,20200628,,20201017,111,5307.2857142857,,
ut,confirmed_7dav_incidence_num,20200628,,20201017,111,531.14285714286,,
va,confirmed_7dav_incidence_num,20200628,,20201017,111,539.14285714286,,
vt,confirmed_7dav_incidence_num,20200628,,20201017,111,6.1428571428571,,
wa,confirmed_7dav_incidence_num,20200628,,20201017,111,439.57142857143,,
wi,confirmed_7dav_incidence_num,20200628,,20201017,111,417.42857142857,,
wv,confirmed_7dav_incidence_num,20200628,,20201017,111,40.571428571429,,
wy,confirmed_7dav_incidence_num,20200628,,20201017,111,31.571428571429,,
