geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.61229875021483,0.081333552876281,
al,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.9942260914994,0.042255310711562,
ar,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.97470312983133,0.043559427592152,
az,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.4072474157485,0.035594409920418,
ca,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.72521687346355,0.014228796189347,
co,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.57668643605906,0.025519998527623,
ct,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.47433266301973,0.018931927696491,
dc,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.0380402558905,0.069444044210921,
de,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.71204470018508,0.08835798319334,
fl,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.1456119121668,0.020938900086612,
ga,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.91265882179129,0.026969967341418,
hi,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.47201429677024,0.040787800389074,
ia,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.68364302364916,0.034880715617829,
id,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.71053282451244,0.050432152490946,
il,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.55428640837745,0.018811993962973,
in,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.73264360626343,0.024593076809908,
ks,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.8539868940308,0.040294448304853,
ky,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.65099795771748,0.032413717632909,
la,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.2849570273963,0.047482839917302,
ma,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.51042880877914,0.021092483758805,
md,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.65592400414874,0.035354763235096,
me,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.3590660020628,0.041685619088495,
mi,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.50318587695333,0.017557330488622,
mn,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.66695152416782,0.029009856749097,
mo,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.83367448783916,0.03252516799402,
ms,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.4532301511404,0.048527129328052,
mt,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.71519658740374,0.05523528425977,
nc,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.70838490342835,0.019475236408854,
nd,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.58177608618944,0.091739087250501,
ne,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.69304677690246,0.047248160601171,
nh,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.45419301486234,0.042397246571782,
nj,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.76380893026748,0.025501866115654,
nm,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.6292964526454,0.045582150025731,
nv,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.76472695670473,0.04689389082035,
ny,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.63108501175409,0.016041546035903,
oh,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.50006121545924,0.016739550758955,
ok,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.91992298850098,0.042359443049893,
or,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.58437907894929,0.026579884611553,
pa,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.4471955497836,0.017136289600959,
pr,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.69316767527097,0.29843991404151,
ri,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.58595520939385,0.065178707812152,
sc,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.1711428335434,0.031678966262666,
sd,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.70159158082937,0.10147246432223,
tn,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.78496977962704,0.029608354233406,
tx,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.550864856063,0.019515814541985,
ut,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.7493393912229,0.047877727824079,
va,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.58894998704384,0.020461373950087,
vt,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.21758340491719,0.040445482432856,
wa,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.52871064757922,0.018626236906664,
wi,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.56172774230854,0.023640662798619,
wv,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,0.62289815872717,0.052975286190132,
wy,nmf_day_doc_fbc_fbs_ght,20200627,,20200925,90,1.0694430032342,0.12128754568079,
