geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.5550097433784,0.067631952210161,
al,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.87290631370956,0.026522413978687,
ar,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.61375926012157,0.035330081815817,
az,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.69590422643341,0.022033568339159,
ca,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.52364607312474,0.01015263770405,
co,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.72883861778337,0.021913587227596,
ct,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.92928146936538,0.02314419840241,
dc,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,1.2372318455697,0.095526667491355,
de,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.58421111298863,0.045818213969024,
fl,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.50382947778414,0.010933501896861,
ga,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.67640039624019,0.022777842585236,
hi,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.41029427166794,0.030029127442078,
ia,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.77007008167869,0.026304393421345,
id,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.60007248857721,0.031553086066258,
il,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.80810272316222,0.016159591289516,
in,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.74433718241793,0.019699582327686,
ks,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.62457537848061,0.027884240823333,
ky,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.67667970196156,0.026564315181735,
la,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.66004540416217,0.023912730835215,
ma,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.77505909333442,0.022069732987033,
md,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.95869998545314,0.02978042305522,
me,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.45601842663996,0.031599640852778,
mi,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.64659107649073,0.013200125473318,
mn,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.675139600265,0.027061595033412,
mo,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.72593555671625,0.022950944798226,
ms,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.806769532269,0.03349569629599,
mt,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.53304102334463,0.055621377072429,
nc,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.60136181611141,0.013796466165899,
nd,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,1.1084648055198,0.053894848165598,
ne,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.73034223903295,0.032357047630662,
nh,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.89370623429728,0.036009758046123,
nj,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,1.1036422006591,0.023180109650005,
nm,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.80051416578604,0.031506244974449,
nv,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.5248667962373,0.032281192183202,
ny,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,1.0493169344698,0.013895218997601,
oh,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.56574795898236,0.014000644030338,
ok,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.54278391535505,0.026771375123228,
or,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.42108510198034,0.020634994017303,
pa,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.60025762956903,0.011828907457978,
pr,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.44474926897845,0.091883503095989,
ri,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.69769968790335,0.042703663340668,
sc,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.56170740662829,0.019897120519411,
sd,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.87651334617915,0.065451001857156,
tn,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.69481564759773,0.019967852668223,
tx,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.59989331826453,0.011721815700902,
ut,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.63277977501957,0.0281560104145,
va,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.8098646188261,0.019219975933686,
vt,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.58593078582622,0.039710388806726,
wa,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.51457855839249,0.017791855544961,
wi,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.56952530442745,0.015645200265866,
wv,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.53351065784174,0.030254379931553,
wy,nmf_day_doc_fbc_fbs_ght,20200529,,20200827,90,0.50200608356573,0.05749349651388,
