geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.65713754626683,0.076624019472034,
al,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.75973232956167,0.035743216771507,
ar,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.6792849644069,0.046176026678696,
az,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.73843802340495,0.023375716424059,
ca,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.57116182232481,0.013676801090309,
co,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.91802493740141,0.032018572893166,
ct,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.85534980062649,0.041521219635735,
dc,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.86783003574824,0.0947321695081,
de,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.96528016051398,0.058818407968275,
fl,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.58684343366326,0.014516690257772,
ga,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.62159086595541,0.023171694648839,
hi,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.27890951145335,0.04126821512199,
ia,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,1.004061820389,0.039035351629502,
id,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.55812014202539,0.040163172944087,
il,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.87832641723628,0.021661082805328,
in,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.84558523359246,0.026524230315952,
ks,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.70254991857601,0.035124258771251,
ky,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.69813257914019,0.033841197550728,
la,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.78367186361366,0.031031838896769,
ma,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.78138438708645,0.027953427350827,
md,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.7333906984035,0.027067977163979,
me,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.56866208190175,0.03875547647312,
mi,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.65988461205438,0.020492646432709,
mn,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.79018418869055,0.037160459180761,
mo,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.62891545511479,0.024839998399505,
ms,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.75343484827448,0.041087544693121,
mt,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.81991009707006,0.052241287518489,
nc,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.59363921429946,0.018445157004118,
nd,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.57699052122148,0.066777219745995,
ne,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,1.1128859705331,0.065735232398477,
nh,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,1.2333699509793,0.061613998570195,
nj,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,1.0732013999595,0.032029515813487,
nm,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.93005937783789,0.062110667351347,
nv,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.59797210826019,0.042519297959845,
ny,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,1.0011610605173,0.016612786811742,
oh,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.62258694749747,0.014592126255294,
ok,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.68897419464866,0.035539058004472,
or,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.71428153890955,0.029438402746024,
pa,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.65851678620022,0.018064347255503,
ri,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,1.3635774919372,0.089364547510444,
sc,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.59038080167683,0.026941965678049,
sd,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.58475057777131,0.060898343722438,
tn,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.72411574156476,0.028834133289194,
tx,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.62985712881657,0.015110045537947,
ut,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.60743954343167,0.031682724242574,
va,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.68886494278366,0.019701780510558,
vt,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.6928562886994,0.056946084291113,
wa,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.53063345783641,0.02190909509239,
wi,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.60950848876402,0.025796846534594,
wv,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.51544297711486,0.034913534764912,
wy,nmf_day_doc_fbc_fbs_ght,20200518,,20200816,90,0.73224729023048,0.092673651691383,
