geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.6091995547634,0.072074302983026,
al,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.74775998066582,0.033498895675657,
ar,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.82766881243572,0.04779362621038,
az,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.71502147371793,0.027250900442941,
ca,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.46320150732936,0.012256710734641,
co,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.58783938659936,0.028261141000008,
ct,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.64332634704132,0.028551273493176,
dc,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.77877414203758,0.078979051599277,
de,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.61709435078868,0.063460958171193,
fl,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.48215650680765,0.014160199700608,
ga,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.56798521569829,0.021962814065825,
hi,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.36467069085925,0.04055975352198,
ia,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.77312869632165,0.030733085029021,
id,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.45544245544365,0.042313385524044,
il,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.59585244168742,0.018363341444937,
in,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.71630666427881,0.026596802668829,
ks,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.48719125162528,0.030164547451228,
ky,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.54006392582855,0.02806669867204,
la,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.72600084141906,0.033477016331829,
ma,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.48815646606258,0.02194973318241,
md,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.76547626114267,0.035308741575002,
me,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.33064277002192,0.034866618946835,
mi,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.46669047158229,0.017797316240418,
mn,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.6935694278369,0.0329783304805,
mo,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.59263657863877,0.030239200409398,
ms,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.81522744470116,0.039202027687799,
mt,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.37242219230412,0.052469336264413,
nc,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.51889589522358,0.020062565346742,
nd,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.67181491672921,0.099147345489611,
ne,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.78939267776138,0.040604680947525,
nh,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.54666830638136,0.036652009738106,
nj,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.74189021606607,0.024748735065996,
nm,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.60515409364034,0.041139808314849,
nv,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.56412272631854,0.053481816339311,
ny,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.68033847506683,0.015660911758746,
oh,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.47200124643201,0.014869699681808,
ok,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.59774387733494,0.033739942872193,
or,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.35866186065171,0.024121773442382,
pa,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.48705749463269,0.016506631031685,
pr,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.53342709346615,0.27533776432497,
ri,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.52647902637106,0.052134308013978,
sc,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.53544850445886,0.027668234071191,
sd,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.68882861055884,0.053308878282304,
tn,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.53748109576245,0.023743829229071,
tx,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.55582344138612,0.015064089845226,
ut,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.74399988713148,0.042345961690503,
va,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.62437574504123,0.025536681733243,
vt,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.34489945949268,0.062241695010137,
wa,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.37864467115181,0.020131855796524,
wi,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.47020972793133,0.024676246819647,
wv,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.47172105950485,0.036789353987698,
wy,nmf_day_doc_fbc_fbs_ght,20200605,,20200903,90,0.58217047204068,0.076913637917451,
