geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200530,,20201017,140,3.7142857142857,,
al,confirmed_7dav_incidence_num,20200530,,20201017,140,458,,
ar,confirmed_7dav_incidence_num,20200530,,20201017,140,176.85714285714,,
az,confirmed_7dav_incidence_num,20200530,,20201017,140,459.42857142857,,
ca,confirmed_7dav_incidence_num,20200530,,20201017,140,2496,,
co,confirmed_7dav_incidence_num,20200530,,20201017,140,306.28571428571,,
ct,confirmed_7dav_incidence_num,20200530,,20201017,140,285.71428571429,,
dc,confirmed_7dav_incidence_num,20200530,,20201017,140,107.28571428571,,
de,confirmed_7dav_incidence_num,20200530,,20201017,140,104.57142857143,,
fl,confirmed_7dav_incidence_num,20200530,,20201017,140,756.28571428571,,
ga,confirmed_7dav_incidence_num,20200530,,20201017,140,965.71428571429,,
hi,confirmed_7dav_incidence_num,20200530,,20201017,140,1.1428571428571,,
ia,confirmed_7dav_incidence_num,20200530,,20201017,140,334.71428571429,,
id,confirmed_7dav_incidence_num,20200530,,20201017,140,30.285714285714,,
il,confirmed_7dav_incidence_num,20200530,,20201017,140,1588.5714285714,,
in,confirmed_7dav_incidence_num,20200530,,20201017,140,379.71428571429,,
ks,confirmed_7dav_incidence_num,20200530,,20201017,140,102.14285714286,,
ky,confirmed_7dav_incidence_num,20200530,,20201017,140,160.85714285714,,
la,confirmed_7dav_incidence_num,20200530,,20201017,140,369.28571428571,,
ma,confirmed_7dav_incidence_num,20200530,,20201017,140,662.71428571429,,
md,confirmed_7dav_incidence_num,20200530,,20201017,140,931.42857142857,,
me,confirmed_7dav_incidence_num,20200530,,20201017,140,43.857142857143,,
mi,confirmed_7dav_incidence_num,20200530,,20201017,140,360.28571428571,,
mn,confirmed_7dav_incidence_num,20200530,,20201017,140,620,,
mo,confirmed_7dav_incidence_num,20200530,,20201017,140,172.71428571429,,
ms,confirmed_7dav_incidence_num,20200530,,20201017,140,315,,
mt,confirmed_7dav_incidence_num,20200530,,20201017,140,3.7142857142857,,
nc,confirmed_7dav_incidence_num,20200530,,20201017,140,707.71428571429,,
nd,confirmed_7dav_incidence_num,20200530,,20201017,140,33.857142857143,,
ne,confirmed_7dav_incidence_num,20200530,,20201017,140,271,,
nh,confirmed_7dav_incidence_num,20200530,,20201017,140,66,,
nj,confirmed_7dav_incidence_num,20200530,,20201017,140,931.28571428571,,
nm,confirmed_7dav_incidence_num,20200530,,20201017,140,118.71428571429,,
nv,confirmed_7dav_incidence_num,20200530,,20201017,140,104.71428571429,,
ny,confirmed_7dav_incidence_num,20200530,,20201017,140,1390.5714285714,,
oh,confirmed_7dav_incidence_num,20200530,,20201017,140,517.42857142857,,
ok,confirmed_7dav_incidence_num,20200530,,20201017,140,66.142857142857,,
or,confirmed_7dav_incidence_num,20200530,,20201017,140,43,,
pa,confirmed_7dav_incidence_num,20200530,,20201017,140,633.71428571429,,
ri,confirmed_7dav_incidence_num,20200530,,20201017,140,123.85714285714,,
sc,confirmed_7dav_incidence_num,20200530,,20201017,140,276.28571428571,,
sd,confirmed_7dav_incidence_num,20200530,,20201017,140,70,,
tn,confirmed_7dav_incidence_num,20200530,,20201017,140,397.71428571429,,
tx,confirmed_7dav_incidence_num,20200530,,20201017,140,1123.2857142857,,
ut,confirmed_7dav_incidence_num,20200530,,20201017,140,146,,
va,confirmed_7dav_incidence_num,20200530,,20201017,140,1126,,
vt,confirmed_7dav_incidence_num,20200530,,20201017,140,3,,
wa,confirmed_7dav_incidence_num,20200530,,20201017,140,251.85714285714,,
wi,confirmed_7dav_incidence_num,20200530,,20201017,140,478.85714285714,,
wv,confirmed_7dav_incidence_num,20200530,,20201017,140,37.571428571429,,
wy,confirmed_7dav_incidence_num,20200530,,20201017,140,12,,
