geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.37517034415837,0.078191631284347,
al,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.80780674771315,0.041475723375575,
ar,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.7272972094711,0.048192703137137,
az,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.66369478984267,0.025878228383993,
ca,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.55562522743936,0.013430608920397,
co,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.0173120078483,0.038783639507362,
ct,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.0269442777138,0.031358823917324,
dc,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.73216682471142,0.080426234149494,
de,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.88523630026888,0.060368004747469,
fl,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.5925557589,0.014805348687712,
ga,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.66251426604935,0.023272288694416,
hi,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.46566732798245,0.065417097628082,
ia,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.0150376399017,0.041935061248168,
id,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.77132798095641,0.052732058130283,
il,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.90707249831224,0.020820822523896,
in,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.82398097877044,0.031389008990792,
ks,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.71484640701879,0.035819188593071,
ky,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.70531395989687,0.033023114632921,
la,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.81862138730082,0.035417204383292,
ma,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.85095445250929,0.029248050842248,
md,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.7678252852363,0.025527300414162,
me,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.63538800076878,0.050696839342249,
mi,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.71120418076082,0.017740150020381,
mn,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.88516370382037,0.038417292307382,
mo,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.61082610212748,0.029704722383913,
ms,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.93913423997991,0.040727097948371,
mt,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.45272470318032,0.055827521413161,
nc,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.58872183298982,0.020206025665125,
nd,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.72098138343484,0.097045502640172,
ne,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.084055760052,0.056653018671461,
nh,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.99537081562973,0.055818582496972,
nj,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.2873235542204,0.027629651050545,
nm,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.90901512341417,0.058329692442028,
nv,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.64585167891737,0.041373934503897,
ny,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.1991852765558,0.019217972020593,
oh,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.66947236972294,0.017344168918693,
ok,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.61284093302651,0.036482690609273,
or,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.62363277214984,0.034587079530444,
pa,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.69770433105524,0.015829627239071,
ri,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,1.0530763761681,0.068538522160587,
sc,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.58399623472213,0.025918810480802,
sd,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.65542187021728,0.066068739457156,
tn,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.74746846066948,0.030075877271169,
tx,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.67123350729089,0.015322873325929,
ut,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.59304304265296,0.038773970189442,
va,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.73069114973353,0.021273726719226,
vt,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.49933035495634,0.074276373215469,
wa,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.57961114575123,0.027387287508311,
wi,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.53568720228824,0.02951312500524,
wv,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.58345417120443,0.034298292868163,
wy,nmf_day_doc_fbc_fbs_ght,20200515,,20200813,90,0.90993452338317,0.10097232393004,
