geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200602,,20201017,137,10.857142857143,,
al,confirmed_7dav_incidence_num,20200602,,20201017,137,397,,
ar,confirmed_7dav_incidence_num,20200602,,20201017,137,234,,
az,confirmed_7dav_incidence_num,20200602,,20201017,137,638.14285714286,,
ca,confirmed_7dav_incidence_num,20200602,,20201017,137,2524.2857142857,,
co,confirmed_7dav_incidence_num,20200602,,20201017,137,320.42857142857,,
ct,confirmed_7dav_incidence_num,20200602,,20201017,137,249.14285714286,,
dc,confirmed_7dav_incidence_num,20200602,,20201017,137,78.857142857143,,
de,confirmed_7dav_incidence_num,20200602,,20201017,137,88.428571428571,,
fl,confirmed_7dav_incidence_num,20200602,,20201017,137,741.85714285714,,
ga,confirmed_7dav_incidence_num,20200602,,20201017,137,871.28571428571,,
hi,confirmed_7dav_incidence_num,20200602,,20201017,137,1.2857142857143,,
ia,confirmed_7dav_incidence_num,20200602,,20201017,137,327.85714285714,,
id,confirmed_7dav_incidence_num,20200602,,20201017,137,33.428571428571,,
il,confirmed_7dav_incidence_num,20200602,,20201017,137,1379.4285714286,,
in,confirmed_7dav_incidence_num,20200602,,20201017,137,452.42857142857,,
ks,confirmed_7dav_incidence_num,20200602,,20201017,137,113,,
ky,confirmed_7dav_incidence_num,20200602,,20201017,137,174.42857142857,,
la,confirmed_7dav_incidence_num,20200602,,20201017,137,383.28571428571,,
ma,confirmed_7dav_incidence_num,20200602,,20201017,137,1069.2857142857,,
md,confirmed_7dav_incidence_num,20200602,,20201017,137,926.71428571429,,
me,confirmed_7dav_incidence_num,20200602,,20201017,137,38.142857142857,,
mi,confirmed_7dav_incidence_num,20200602,,20201017,137,377.85714285714,,
mn,confirmed_7dav_incidence_num,20200602,,20201017,137,505.85714285714,,
mo,confirmed_7dav_incidence_num,20200602,,20201017,137,183.71428571429,,
ms,confirmed_7dav_incidence_num,20200602,,20201017,137,327.71428571429,,
mt,confirmed_7dav_incidence_num,20200602,,20201017,137,6.2857142857143,,
nc,confirmed_7dav_incidence_num,20200602,,20201017,137,823.28571428571,,
nd,confirmed_7dav_incidence_num,20200602,,20201017,137,32.285714285714,,
ne,confirmed_7dav_incidence_num,20200602,,20201017,137,282.71428571429,,
nh,confirmed_7dav_incidence_num,20200602,,20201017,137,73.857142857143,,
nj,confirmed_7dav_incidence_num,20200602,,20201017,137,823.42857142857,,
nm,confirmed_7dav_incidence_num,20200602,,20201017,137,127.42857142857,,
nv,confirmed_7dav_incidence_num,20200602,,20201017,137,91.857142857143,,
ny,confirmed_7dav_incidence_num,20200602,,20201017,137,1314.8571428571,,
oh,confirmed_7dav_incidence_num,20200602,,20201017,137,477.71428571429,,
ok,confirmed_7dav_incidence_num,20200602,,20201017,137,79.285714285714,,
or,confirmed_7dav_incidence_num,20200602,,20201017,137,52.857142857143,,
pa,confirmed_7dav_incidence_num,20200602,,20201017,137,608.14285714286,,
ri,confirmed_7dav_incidence_num,20200602,,20201017,137,128.85714285714,,
sc,confirmed_7dav_incidence_num,20200602,,20201017,137,285.28571428571,,
sd,confirmed_7dav_incidence_num,20200602,,20201017,137,58.714285714286,,
tn,confirmed_7dav_incidence_num,20200602,,20201017,137,474.85714285714,,
tx,confirmed_7dav_incidence_num,20200602,,20201017,137,1421.5714285714,,
ut,confirmed_7dav_incidence_num,20200602,,20201017,137,231,,
va,confirmed_7dav_incidence_num,20200602,,20201017,137,984.28571428571,,
vt,confirmed_7dav_incidence_num,20200602,,20201017,137,3,,
wa,confirmed_7dav_incidence_num,20200602,,20201017,137,282.14285714286,,
wi,confirmed_7dav_incidence_num,20200602,,20201017,137,436.71428571429,,
wv,confirmed_7dav_incidence_num,20200602,,20201017,137,36.142857142857,,
wy,confirmed_7dav_incidence_num,20200602,,20201017,137,8.8571428571429,,
