geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200625,,20201017,114,10.857142857143,,
al,confirmed_7dav_incidence_num,20200625,,20201017,114,714.28571428571,,
ar,confirmed_7dav_incidence_num,20200625,,20201017,114,590,,
az,confirmed_7dav_incidence_num,20200625,,20201017,114,2798.1428571429,,
ca,confirmed_7dav_incidence_num,20200625,,20201017,114,4764.4285714286,,
co,confirmed_7dav_incidence_num,20200625,,20201017,114,225.57142857143,,
ct,confirmed_7dav_incidence_num,20200625,,20201017,114,91.285714285714,,
dc,confirmed_7dav_incidence_num,20200625,,20201017,114,36.571428571429,,
de,confirmed_7dav_incidence_num,20200625,,20201017,114,66,,
fl,confirmed_7dav_incidence_num,20200625,,20201017,114,4013,,
ga,confirmed_7dav_incidence_num,20200625,,20201017,114,1466.1428571429,,
hi,confirmed_7dav_incidence_num,20200625,,20201017,114,12.571428571429,,
ia,confirmed_7dav_incidence_num,20200625,,20201017,114,331,,
id,confirmed_7dav_incidence_num,20200625,,20201017,114,160.14285714286,,
il,confirmed_7dav_incidence_num,20200625,,20201017,114,665.14285714286,,
in,confirmed_7dav_incidence_num,20200625,,20201017,114,317.71428571429,,
ks,confirmed_7dav_incidence_num,20200625,,20201017,114,198.71428571429,,
ky,confirmed_7dav_incidence_num,20200625,,20201017,114,203.28571428571,,
la,confirmed_7dav_incidence_num,20200625,,20201017,114,766.71428571429,,
ma,confirmed_7dav_incidence_num,20200625,,20201017,114,202.14285714286,,
md,confirmed_7dav_incidence_num,20200625,,20201017,114,315.42857142857,,
me,confirmed_7dav_incidence_num,20200625,,20201017,114,32.285714285714,,
mi,confirmed_7dav_incidence_num,20200625,,20201017,114,315,,
mn,confirmed_7dav_incidence_num,20200625,,20201017,114,351,,
mo,confirmed_7dav_incidence_num,20200625,,20201017,114,352.28571428571,,
ms,confirmed_7dav_incidence_num,20200625,,20201017,114,559.57142857143,,
mt,confirmed_7dav_incidence_num,20200625,,20201017,114,22.285714285714,,
nc,confirmed_7dav_incidence_num,20200625,,20201017,114,1277.2857142857,,
nd,confirmed_7dav_incidence_num,20200625,,20201017,114,32.285714285714,,
ne,confirmed_7dav_incidence_num,20200625,,20201017,114,135,,
nh,confirmed_7dav_incidence_num,20200625,,20201017,114,23.428571428571,,
nj,confirmed_7dav_incidence_num,20200625,,20201017,114,296.28571428571,,
nm,confirmed_7dav_incidence_num,20200625,,20201017,114,148.14285714286,,
nv,confirmed_7dav_incidence_num,20200625,,20201017,114,388,,
ny,confirmed_7dav_incidence_num,20200625,,20201017,114,665,,
oh,confirmed_7dav_incidence_num,20200625,,20201017,114,646.71428571429,,
ok,confirmed_7dav_incidence_num,20200625,,20201017,114,370.71428571429,,
or,confirmed_7dav_incidence_num,20200625,,20201017,114,171.85714285714,,
pa,confirmed_7dav_incidence_num,20200625,,20201017,114,505,,
ri,confirmed_7dav_incidence_num,20200625,,20201017,114,53,,
sc,confirmed_7dav_incidence_num,20200625,,20201017,114,1061.5714285714,,
sd,confirmed_7dav_incidence_num,20200625,,20201017,114,54.857142857143,,
tn,confirmed_7dav_incidence_num,20200625,,20201017,114,746.42857142857,,
tx,confirmed_7dav_incidence_num,20200625,,20201017,114,4579.4285714286,,
ut,confirmed_7dav_incidence_num,20200625,,20201017,114,498.14285714286,,
va,confirmed_7dav_incidence_num,20200625,,20201017,114,529.28571428571,,
vt,confirmed_7dav_incidence_num,20200625,,20201017,114,8,,
wa,confirmed_7dav_incidence_num,20200625,,20201017,114,454.71428571429,,
wi,confirmed_7dav_incidence_num,20200625,,20201017,114,335.85714285714,,
wv,confirmed_7dav_incidence_num,20200625,,20201017,114,37.285714285714,,
wy,confirmed_7dav_incidence_num,20200625,,20201017,114,26.142857142857,,
