geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.2151475111864,0.10995270222895,
al,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0015550927901,0.066032576868346,
ar,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0193313759658,0.087737874239565,
az,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.986601006341,0.041251590654074,
ca,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.77862817315343,0.018395334361033,
co,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.3173354859601,0.052772235876109,
ct,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.34036108998,0.061532438667193,
dc,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.87109238816087,0.12727048994085,
de,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0758622956651,0.081640718153986,
fl,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.87883320595921,0.02211315180317,
ga,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.95013901893344,0.034828877697099,
hi,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.55462116444349,0.087200439335982,
ia,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.99794195451272,0.06814280010698,
id,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.2917388333362,0.07955968756879,
il,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.1934549097148,0.035621737794803,
in,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.1814340597163,0.056854078524379,
ks,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.7978819655577,0.060599529920382,
ky,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.84470199192932,0.056166665935771,
la,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.1134053685571,0.050560145066522,
ma,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.1343062060295,0.054119084803245,
md,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.97340255210697,0.048841024365752,
me,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0229878984733,0.08424654194204,
mi,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.1706976526207,0.045006240010863,
mn,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.80465769506741,0.049674280401692,
mo,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.91930429022877,0.04612217429922,
ms,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0031630858192,0.070472057666798,
mt,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.82411409723335,0.086951155396186,
nc,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.70595661684304,0.026533250564182,
nd,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.94780334258185,0.12560513103974,
ne,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.90421759563057,0.073691735672749,
nh,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.1023781846138,0.073611140655186,
nj,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.6029356418309,0.051371573544061,
nm,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.78414363206261,0.064572137140834,
nv,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0610805963963,0.084920343511036,
ny,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.6596140372522,0.03044306966197,
oh,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.81556004769757,0.027463090679743,
ok,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.0300184023558,0.065499235564713,
or,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.9466435633556,0.05750740428658,
pa,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.96916185863554,0.033875500166756,
ri,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.89211494961695,0.083853328501979,
sc,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.91155802352189,0.049961892623753,
sd,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,1.3170377018874,0.14179690625908,
tn,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.93580957196209,0.046844669779257,
tx,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.84758964767179,0.023402698656454,
ut,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.93331505337947,0.046796870698536,
va,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.9366239837795,0.038272874410761,
vt,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.59617079160141,0.08662419037823,
wa,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.92080155765898,0.035726099165229,
wi,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.83836227479917,0.046217006664974,
wv,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.86184140405966,0.05971532102094,
wy,nmf_day_doc_fbc_fbs_ght,20200426,,20200725,90,0.85849161693958,0.14996306040088,
