geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200606,,20201017,133,14.571428571429,,
al,confirmed_7dav_incidence_num,20200606,,20201017,133,335.85714285714,,
ar,confirmed_7dav_incidence_num,20200606,,20201017,133,298.71428571429,,
az,confirmed_7dav_incidence_num,20200606,,20201017,133,885.14285714286,,
ca,confirmed_7dav_incidence_num,20200606,,20201017,133,2689.8571428571,,
co,confirmed_7dav_incidence_num,20200606,,20201017,133,249.71428571429,,
ct,confirmed_7dav_incidence_num,20200606,,20201017,133,256.42857142857,,
dc,confirmed_7dav_incidence_num,20200606,,20201017,133,78.857142857143,,
de,confirmed_7dav_incidence_num,20200606,,20201017,133,60.428571428571,,
fl,confirmed_7dav_incidence_num,20200606,,20201017,133,1048.1428571429,,
ga,confirmed_7dav_incidence_num,20200606,,20201017,133,715.85714285714,,
hi,confirmed_7dav_incidence_num,20200606,,20201017,133,3.1428571428571,,
ia,confirmed_7dav_incidence_num,20200606,,20201017,133,327.42857142857,,
id,confirmed_7dav_incidence_num,20200606,,20201017,133,42.857142857143,,
il,confirmed_7dav_incidence_num,20200606,,20201017,133,1138.7142857143,,
in,confirmed_7dav_incidence_num,20200606,,20201017,133,491.57142857143,,
ks,confirmed_7dav_incidence_num,20200606,,20201017,133,95.428571428571,,
ky,confirmed_7dav_incidence_num,20200606,,20201017,133,226.14285714286,,
la,confirmed_7dav_incidence_num,20200606,,20201017,133,416.57142857143,,
ma,confirmed_7dav_incidence_num,20200606,,20201017,133,975.85714285714,,
md,confirmed_7dav_incidence_num,20200606,,20201017,133,780.85714285714,,
me,confirmed_7dav_incidence_num,20200606,,20201017,133,35,,
mi,confirmed_7dav_incidence_num,20200606,,20201017,133,1012.5714285714,,
mn,confirmed_7dav_incidence_num,20200606,,20201017,133,473.71428571429,,
mo,confirmed_7dav_incidence_num,20200606,,20201017,133,211.14285714286,,
ms,confirmed_7dav_incidence_num,20200606,,20201017,133,261.57142857143,,
mt,confirmed_7dav_incidence_num,20200606,,20201017,133,5.2857142857143,,
nc,confirmed_7dav_incidence_num,20200606,,20201017,133,991.85714285714,,
nd,confirmed_7dav_incidence_num,20200606,,20201017,133,37.714285714286,,
ne,confirmed_7dav_incidence_num,20200606,,20201017,133,237.57142857143,,
nh,confirmed_7dav_incidence_num,20200606,,20201017,133,66.571428571429,,
nj,confirmed_7dav_incidence_num,20200606,,20201017,133,607.28571428571,,
nm,confirmed_7dav_incidence_num,20200606,,20201017,133,167.85714285714,,
nv,confirmed_7dav_incidence_num,20200606,,20201017,133,141.57142857143,,
ny,confirmed_7dav_incidence_num,20200606,,20201017,133,1093.7142857143,,
oh,confirmed_7dav_incidence_num,20200606,,20201017,133,439.85714285714,,
ok,confirmed_7dav_incidence_num,20200606,,20201017,133,91.714285714286,,
or,confirmed_7dav_incidence_num,20200606,,20201017,133,68,,
pa,confirmed_7dav_incidence_num,20200606,,20201017,133,524.42857142857,,
ri,confirmed_7dav_incidence_num,20200606,,20201017,133,88.857142857143,,
sc,confirmed_7dav_incidence_num,20200606,,20201017,133,297.85714285714,,
sd,confirmed_7dav_incidence_num,20200606,,20201017,133,58.285714285714,,
tn,confirmed_7dav_incidence_num,20200606,,20201017,133,493.42857142857,,
tx,confirmed_7dav_incidence_num,20200606,,20201017,133,1585,,
ut,confirmed_7dav_incidence_num,20200606,,20201017,133,368.14285714286,,
va,confirmed_7dav_incidence_num,20200606,,20201017,133,825.14285714286,,
vt,confirmed_7dav_incidence_num,20200606,,20201017,133,9.8571428571429,,
wa,confirmed_7dav_incidence_num,20200606,,20201017,133,299.14285714286,,
wi,confirmed_7dav_incidence_num,20200606,,20201017,133,334.85714285714,,
wv,confirmed_7dav_incidence_num,20200606,,20201017,133,22.714285714286,,
wy,confirmed_7dav_incidence_num,20200606,,20201017,133,5.8571428571429,,
