geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.0040087725432,0.11193291124679,
al,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.0802880613533,0.040561600191696,
ar,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.0574575036104,0.059086233094858,
az,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.81301713793129,0.034680977901033,
ca,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.76659208799774,0.015093741454995,
co,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.3769771084408,0.039978753506583,
ct,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.4103299160792,0.036753037201307,
dc,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.0804153809449,0.1323264766649,
de,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.4217373487677,0.086933486162565,
fl,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.89067387892289,0.016555655857231,
ga,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.91003465484629,0.025870807162715,
hi,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.47287574801461,0.051445452432289,
ia,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.81912374775375,0.03127240576909,
id,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.95825473705579,0.06371669233152,
il,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.3739930226165,0.027965101353498,
in,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.061530575581,0.031787813961544,
ks,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.72868393319801,0.03526429598789,
ky,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.75895297290596,0.034366411321704,
la,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.2409866175032,0.031539215620938,
ma,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.1527513137315,0.031707921772971,
md,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.2075072603666,0.036815932821639,
me,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.79014839969941,0.066440877920375,
mi,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.2246274256569,0.028465139042289,
mn,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.92884631609488,0.034395075253415,
mo,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.78613008624299,0.032280070470576,
ms,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.82369443514816,0.044810369634647,
mt,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.57473217549634,0.070065052098508,
nc,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.66018074459964,0.019949145505573,
nd,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.76188111873222,0.076224024017328,
ne,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.94657817893506,0.048135612551158,
nh,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.9929639729291,0.055502803369188,
nj,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.6944809687065,0.037945256916654,
nm,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.89432233220037,0.051912414599998,
nv,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.87685394000068,0.044164777792434,
ny,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.980450101296,0.022973822679071,
oh,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.71708961289402,0.022208480208042,
ok,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.83271803479031,0.039176463293151,
or,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.86211966691035,0.041654580771861,
pa,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.9517923983927,0.018301061135096,
ri,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.92936270958257,0.072585980420445,
sc,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.87069630885302,0.031116006534801,
sd,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.3317903458721,0.11212838967966,
tn,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.88750472140946,0.036614732761238,
tx,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.79110522923205,0.013263669542202,
ut,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.90118847262194,0.048103619640883,
va,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.94482696227618,0.023780912758317,
vt,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.60509752001222,0.084384807737761,
wa,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.7527117793016,0.028890707423839,
wi,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.72424929936742,0.02750518228342,
wv,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,0.75550503407138,0.046098966220672,
wy,nmf_day_doc_fbc_fbs_ght,20200430,,20200729,90,1.0012346371712,0.098768755406344,
