geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200418,,20201017,182,8.1428571428571,,
al,confirmed_7dav_incidence_num,20200418,,20201017,182,208.14285714286,,
ar,confirmed_7dav_incidence_num,20200418,,20201017,182,78.571428571429,,
az,confirmed_7dav_incidence_num,20200418,,20201017,182,189.28571428571,,
ca,confirmed_7dav_incidence_num,20200418,,20201017,182,1181,,
co,confirmed_7dav_incidence_num,20200418,,20201017,182,398.71428571429,,
ct,confirmed_7dav_incidence_num,20200418,,20201017,182,862.85714285714,,
dc,confirmed_7dav_incidence_num,20200418,,20201017,182,126.85714285714,,
de,confirmed_7dav_incidence_num,20200418,,20201017,182,151.28571428571,,
fl,confirmed_7dav_incidence_num,20200418,,20201017,182,929.71428571429,,
ga,confirmed_7dav_incidence_num,20200418,,20201017,182,759.85714285714,,
hi,confirmed_7dav_incidence_num,20200418,,20201017,182,12.428571428571,,
ia,confirmed_7dav_incidence_num,20200418,,20201017,182,142.71428571429,,
id,confirmed_7dav_incidence_num,20200418,,20201017,182,37.285714285714,,
il,confirmed_7dav_incidence_num,20200418,,20201017,182,1422.4285714286,,
in,confirmed_7dav_incidence_num,20200418,,20201017,182,458.57142857143,,
ks,confirmed_7dav_incidence_num,20200418,,20201017,182,75.142857142857,,
ky,confirmed_7dav_incidence_num,20200418,,20201017,182,119.85714285714,,
la,confirmed_7dav_incidence_num,20200418,,20201017,182,509.71428571429,,
ma,confirmed_7dav_incidence_num,20200418,,20201017,182,1930.4285714286,,
md,confirmed_7dav_incidence_num,20200418,,20201017,182,659,,
me,confirmed_7dav_incidence_num,20200418,,20201017,182,33,,
mi,confirmed_7dav_incidence_num,20200418,,20201017,182,971.28571428571,,
mn,confirmed_7dav_incidence_num,20200418,,20201017,182,111.42857142857,,
mo,confirmed_7dav_incidence_num,20200418,,20201017,182,212.14285714286,,
ms,confirmed_7dav_incidence_num,20200418,,20201017,182,190.28571428571,,
mt,confirmed_7dav_incidence_num,20200418,,20201017,182,13.571428571429,,
nc,confirmed_7dav_incidence_num,20200418,,20201017,182,259.42857142857,,
nd,confirmed_7dav_incidence_num,20200418,,20201017,182,14.285714285714,,
ne,confirmed_7dav_incidence_num,20200418,,20201017,182,65.714285714286,,
nh,confirmed_7dav_incidence_num,20200418,,20201017,182,59.142857142857,,
nj,confirmed_7dav_incidence_num,20200418,,20201017,182,3367,,
nm,confirmed_7dav_incidence_num,20200418,,20201017,182,89.142857142857,,
nv,confirmed_7dav_incidence_num,20200418,,20201017,182,143.57142857143,,
ny,confirmed_7dav_incidence_num,20200418,,20201017,182,8039.1428571429,,
oh,confirmed_7dav_incidence_num,20200418,,20201017,182,566.85714285714,,
ok,confirmed_7dav_incidence_num,20200418,,20201017,182,69.857142857143,,
or,confirmed_7dav_incidence_num,20200418,,20201017,182,56.428571428571,,
pa,confirmed_7dav_incidence_num,20200418,,20201017,182,1344.4285714286,,
ri,confirmed_7dav_incidence_num,20200418,,20201017,182,306.14285714286,,
sc,confirmed_7dav_incidence_num,20200418,,20201017,182,168.14285714286,,
sd,confirmed_7dav_incidence_num,20200418,,20201017,182,130.71428571429,,
tn,confirmed_7dav_incidence_num,20200418,,20201017,182,234.57142857143,,
tx,confirmed_7dav_incidence_num,20200418,,20201017,182,757.71428571429,,
ut,confirmed_7dav_incidence_num,20200418,,20201017,182,104.57142857143,,
va,confirmed_7dav_incidence_num,20200418,,20201017,182,425.28571428571,,
vt,confirmed_7dav_incidence_num,20200418,,20201017,182,13,,
wa,confirmed_7dav_incidence_num,20200418,,20201017,182,225.42857142857,,
wi,confirmed_7dav_incidence_num,20200418,,20201017,182,140.28571428571,,
wv,confirmed_7dav_incidence_num,20200418,,20201017,182,33,,
wy,confirmed_7dav_incidence_num,20200418,,20201017,182,6.8571428571429,,
