geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200611,,20201017,128,13.857142857143,,
al,confirmed_7dav_incidence_num,20200611,,20201017,128,529.71428571429,,
ar,confirmed_7dav_incidence_num,20200611,,20201017,128,341.71428571429,,
az,confirmed_7dav_incidence_num,20200611,,20201017,128,1215.7142857143,,
ca,confirmed_7dav_incidence_num,20200611,,20201017,128,2891.8571428571,,
co,confirmed_7dav_incidence_num,20200611,,20201017,128,183.42857142857,,
ct,confirmed_7dav_incidence_num,20200611,,20201017,128,174.71428571429,,
dc,confirmed_7dav_incidence_num,20200611,,20201017,128,67,,
de,confirmed_7dav_incidence_num,20200611,,20201017,128,45.571428571429,,
fl,confirmed_7dav_incidence_num,20200611,,20201017,128,1269.5714285714,,
ga,confirmed_7dav_incidence_num,20200611,,20201017,128,736.57142857143,,
hi,confirmed_7dav_incidence_num,20200611,,20201017,128,5.2857142857143,,
ia,confirmed_7dav_incidence_num,20200611,,20201017,128,296.57142857143,,
id,confirmed_7dav_incidence_num,20200611,,20201017,128,35.428571428571,,
il,confirmed_7dav_incidence_num,20200611,,20201017,128,835.42857142857,,
in,confirmed_7dav_incidence_num,20200611,,20201017,128,379.14285714286,,
ks,confirmed_7dav_incidence_num,20200611,,20201017,128,88.857142857143,,
ky,confirmed_7dav_incidence_num,20200611,,20201017,128,176.14285714286,,
la,confirmed_7dav_incidence_num,20200611,,20201017,128,416.85714285714,,
ma,confirmed_7dav_incidence_num,20200611,,20201017,128,372.57142857143,,
md,confirmed_7dav_incidence_num,20200611,,20201017,128,619.85714285714,,
me,confirmed_7dav_incidence_num,20200611,,20201017,128,31.714285714286,,
mi,confirmed_7dav_incidence_num,20200611,,20201017,128,1023.4285714286,,
mn,confirmed_7dav_incidence_num,20200611,,20201017,128,434.28571428571,,
mo,confirmed_7dav_incidence_num,20200611,,20201017,128,191.42857142857,,
ms,confirmed_7dav_incidence_num,20200611,,20201017,128,275.14285714286,,
mt,confirmed_7dav_incidence_num,20200611,,20201017,128,4,,
nc,confirmed_7dav_incidence_num,20200611,,20201017,128,1088.7142857143,,
nd,confirmed_7dav_incidence_num,20200611,,20201017,128,39.142857142857,,
ne,confirmed_7dav_incidence_num,20200611,,20201017,128,172.42857142857,,
nh,confirmed_7dav_incidence_num,20200611,,20201017,128,47.571428571429,,
nj,confirmed_7dav_incidence_num,20200611,,20201017,128,456.57142857143,,
nm,confirmed_7dav_incidence_num,20200611,,20201017,128,145.14285714286,,
nv,confirmed_7dav_incidence_num,20200611,,20201017,128,190.42857142857,,
ny,confirmed_7dav_incidence_num,20200611,,20201017,128,822.71428571429,,
oh,confirmed_7dav_incidence_num,20200611,,20201017,128,387.57142857143,,
ok,confirmed_7dav_incidence_num,20200611,,20201017,128,103.14285714286,,
or,confirmed_7dav_incidence_num,20200611,,20201017,128,108.85714285714,,
pa,confirmed_7dav_incidence_num,20200611,,20201017,128,482.42857142857,,
ri,confirmed_7dav_incidence_num,20200611,,20201017,128,76.714285714286,,
sc,confirmed_7dav_incidence_num,20200611,,20201017,128,491.57142857143,,
sd,confirmed_7dav_incidence_num,20200611,,20201017,128,59.857142857143,,
tn,confirmed_7dav_incidence_num,20200611,,20201017,128,475,,
tx,confirmed_7dav_incidence_num,20200611,,20201017,128,1701.1428571429,,
ut,confirmed_7dav_incidence_num,20200611,,20201017,128,355.28571428571,,
va,confirmed_7dav_incidence_num,20200611,,20201017,128,684.28571428571,,
vt,confirmed_7dav_incidence_num,20200611,,20201017,128,12.142857142857,,
wa,confirmed_7dav_incidence_num,20200611,,20201017,128,293.14285714286,,
wi,confirmed_7dav_incidence_num,20200611,,20201017,128,290.28571428571,,
wv,confirmed_7dav_incidence_num,20200611,,20201017,128,17,,
wy,confirmed_7dav_incidence_num,20200611,,20201017,128,12.428571428571,,
