geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200629,,20201017,110,20.142857142857,,
al,confirmed_7dav_incidence_num,20200629,,20201017,110,960.14285714286,,
ar,confirmed_7dav_incidence_num,20200629,,20201017,110,595.57142857143,,
az,confirmed_7dav_incidence_num,20200629,,20201017,110,2849.5714285714,,
ca,confirmed_7dav_incidence_num,20200629,,20201017,110,5385.1428571429,,
co,confirmed_7dav_incidence_num,20200629,,20201017,110,258.14285714286,,
ct,confirmed_7dav_incidence_num,20200629,,20201017,110,82.857142857143,,
dc,confirmed_7dav_incidence_num,20200629,,20201017,110,33.428571428571,,
de,confirmed_7dav_incidence_num,20200629,,20201017,110,79.428571428571,,
fl,confirmed_7dav_incidence_num,20200629,,20201017,110,6590.2857142857,,
ga,confirmed_7dav_incidence_num,20200629,,20201017,110,1983.2857142857,,
hi,confirmed_7dav_incidence_num,20200629,,20201017,110,12,,
ia,confirmed_7dav_incidence_num,20200629,,20201017,110,383.14285714286,,
id,confirmed_7dav_incidence_num,20200629,,20201017,110,213.85714285714,,
il,confirmed_7dav_incidence_num,20200629,,20201017,110,748.14285714286,,
in,confirmed_7dav_incidence_num,20200629,,20201017,110,371,,
ks,confirmed_7dav_incidence_num,20200629,,20201017,110,283,,
ky,confirmed_7dav_incidence_num,20200629,,20201017,110,216.14285714286,,
la,confirmed_7dav_incidence_num,20200629,,20201017,110,974.71428571429,,
ma,confirmed_7dav_incidence_num,20200629,,20201017,110,220,,
md,confirmed_7dav_incidence_num,20200629,,20201017,110,412.42857142857,,
me,confirmed_7dav_incidence_num,20200629,,20201017,110,36,,
mi,confirmed_7dav_incidence_num,20200629,,20201017,110,326.71428571429,,
mn,confirmed_7dav_incidence_num,20200629,,20201017,110,376,,
mo,confirmed_7dav_incidence_num,20200629,,20201017,110,411.71428571429,,
ms,confirmed_7dav_incidence_num,20200629,,20201017,110,611.42857142857,,
mt,confirmed_7dav_incidence_num,20200629,,20201017,110,28.285714285714,,
nc,confirmed_7dav_incidence_num,20200629,,20201017,110,1412.1428571429,,
nd,confirmed_7dav_incidence_num,20200629,,20201017,110,32.285714285714,,
ne,confirmed_7dav_incidence_num,20200629,,20201017,110,156,,
nh,confirmed_7dav_incidence_num,20200629,,20201017,110,28.857142857143,,
nj,confirmed_7dav_incidence_num,20200629,,20201017,110,265.14285714286,,
nm,confirmed_7dav_incidence_num,20200629,,20201017,110,184.14285714286,,
nv,confirmed_7dav_incidence_num,20200629,,20201017,110,616.14285714286,,
ny,confirmed_7dav_incidence_num,20200629,,20201017,110,633.14285714286,,
oh,confirmed_7dav_incidence_num,20200629,,20201017,110,787,,
ok,confirmed_7dav_incidence_num,20200629,,20201017,110,348,,
or,confirmed_7dav_incidence_num,20200629,,20201017,110,200.28571428571,,
pa,confirmed_7dav_incidence_num,20200629,,20201017,110,542.85714285714,,
ri,confirmed_7dav_incidence_num,20200629,,20201017,110,43.571428571429,,
sc,confirmed_7dav_incidence_num,20200629,,20201017,110,1270.4285714286,,
sd,confirmed_7dav_incidence_num,20200629,,20201017,110,55.428571428571,,
tn,confirmed_7dav_incidence_num,20200629,,20201017,110,967,,
tx,confirmed_7dav_incidence_num,20200629,,20201017,110,5451,,
ut,confirmed_7dav_incidence_num,20200629,,20201017,110,536.57142857143,,
va,confirmed_7dav_incidence_num,20200629,,20201017,110,537.57142857143,,
vt,confirmed_7dav_incidence_num,20200629,,20201017,110,6.4285714285714,,
wa,confirmed_7dav_incidence_num,20200629,,20201017,110,483.42857142857,,
wi,confirmed_7dav_incidence_num,20200629,,20201017,110,427.57142857143,,
wv,confirmed_7dav_incidence_num,20200629,,20201017,110,42.428571428571,,
wy,confirmed_7dav_incidence_num,20200629,,20201017,110,31.285714285714,,
