geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.78042299687562,0.13351931405894,
al,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0542407953028,0.061551811383742,
ar,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0400530708642,0.069748009520575,
az,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.95567844067931,0.044574095188543,
ca,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.83659956343421,0.022925671165282,
co,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.2936917758713,0.056338334836788,
ct,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.3840713038651,0.067321332452089,
dc,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.87291515848273,0.17110108766611,
de,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.6994209641736,0.11351932346215,
fl,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.92528742875003,0.023441906727542,
ga,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0102464683239,0.040501090364491,
hi,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.82318441361543,0.089871162676807,
ia,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0037950033795,0.065786344905196,
id,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.1856487778022,0.10333907731349,
il,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.2076023043174,0.035227851244736,
in,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.1991100028458,0.05314310704375,
ks,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.91682978899893,0.064142928596378,
ky,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.94006946859981,0.061624154223677,
la,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.2112233525217,0.050673771021563,
ma,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.2332711635169,0.050003624810816,
md,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.84272046789434,0.049883414250654,
me,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.89775003345356,0.065614706067085,
mi,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.1480322072988,0.042082789253902,
mn,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.94968553513076,0.042352784475185,
mo,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.84531644644196,0.060227877975667,
ms,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.102272422692,0.073918875908217,
mt,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.4318589981764,0.079387615981408,
nc,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.80786182257021,0.03154991020215,
nd,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.7657883767411,0.1154282766779,
ne,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.1338339093563,0.089874599739384,
nh,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.8550722635981,0.082679202406112,
nj,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.7060478737438,0.057529271704722,
nm,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.68748578877484,0.077774531897367,
nv,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.3921129749522,0.10555396475883,
ny,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.6829766688798,0.03701362177465,
oh,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.91091362652586,0.032690757185673,
ok,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.009374449037,0.071956743873741,
or,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.080439987567,0.061802258571636,
pa,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0371140733798,0.030706582207303,
ri,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.1086733187232,0.091588074240592,
sc,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.77762286202561,0.046163953252275,
sd,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.3325427756259,0.14649317731206,
tn,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.89308046234308,0.046445054797243,
tx,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.92014627375609,0.026495293390392,
ut,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.96507715218703,0.065988862330928,
va,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0470386946641,0.039328144804991,
vt,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.63237884863208,0.08194868601216,
wa,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.86678110827014,0.041096554449748,
wi,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,0.92040193444711,0.045935973479399,
wv,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0112973175291,0.054558362204146,
wy,nmf_day_doc_fbc_fbs_ght,20200420,,20200721,92,1.0491287565927,0.14733151384542,
