geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.70458676114326,0.083894916179502,
al,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.9585021133816,0.041037210114363,
ar,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,1.0207249584005,0.048889243467155,
az,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,1.2563956642142,0.034193074318741,
ca,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.59015738053318,0.012921503458073,
co,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.6116828257366,0.028263795362245,
ct,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.44197049549441,0.020421791801335,
dc,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.9179602062064,0.074512352237533,
de,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.55677687793091,0.068163469480496,
fl,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.94150437985375,0.017631564211719,
ga,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.78909195697612,0.028339602172228,
hi,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.27329760825691,0.046317960808921,
ia,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.82356996233172,0.046052881421641,
id,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.744290972197,0.044801179306922,
il,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.54832487004163,0.017158633235464,
in,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.74329631064615,0.025561317782109,
ks,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.9301741104964,0.040448910718239,
ky,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.70587784748862,0.038724594555471,
la,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,1.0767315602086,0.04150382302511,
ma,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.44604118845117,0.026851819183698,
md,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.55241733054041,0.030265795508468,
me,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.35317522671212,0.040697446322304,
mi,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.43865839141553,0.018905300423713,
mn,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.55291844228732,0.027015271149494,
mo,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.81292676437079,0.025054036875108,
ms,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,1.2158142650631,0.053352213012309,
mt,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.9065824465219,0.061821243367944,
nc,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.6277034214324,0.018902139082554,
nd,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.51666314707339,0.092225156919052,
ne,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.92228604550513,0.051342722215069,
nh,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.48463720804178,0.043063321974163,
nj,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.63682670587323,0.026586294703711,
nm,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.63946554433335,0.039125478000424,
nv,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.74086245136618,0.053054929929287,
ny,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.5945133200282,0.015588815216129,
oh,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.44499269710125,0.019083505093329,
ok,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.97318431308958,0.034182683744353,
or,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.50043426624742,0.024883682926238,
pa,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.41468057524452,0.01754402949636,
pr,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.81430462174093,0.4708496582156,
ri,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.4339799505432,0.051858711034076,
sc,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,1.0959906478354,0.034211335281043,
sd,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.60226453225267,0.08011467319805,
tn,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.71185703909588,0.031267372967147,
tx,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,1.3385837298757,0.020862093561763,
ut,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.70748726539168,0.035529750154627,
va,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.56313350731319,0.022357717002522,
vt,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.36833685415742,0.07609719119025,
wa,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.49120240423249,0.019368781553987,
wi,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.61622938591835,0.0228856086613,
wv,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.45125099020737,0.041934201150058,
wy,nmf_day_doc_fbc_fbs_ght,20200623,,20200921,90,0.53780344893944,0.10554117747832,
