geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200429,,20201017,171,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200429,,20201017,171,188.28571428571,,
ar,confirmed_7dav_incidence_num,20200429,,20201017,171,115.71428571429,,
az,confirmed_7dav_incidence_num,20200429,,20201017,171,249,,
ca,confirmed_7dav_incidence_num,20200429,,20201017,171,1586.7142857143,,
co,confirmed_7dav_incidence_num,20200429,,20201017,171,553.14285714286,,
ct,confirmed_7dav_incidence_num,20200429,,20201017,171,614,,
dc,confirmed_7dav_incidence_num,20200429,,20201017,171,128.57142857143,,
de,confirmed_7dav_incidence_num,20200429,,20201017,171,207.85714285714,,
fl,confirmed_7dav_incidence_num,20200429,,20201017,171,659.42857142857,,
ga,confirmed_7dav_incidence_num,20200429,,20201017,171,662.14285714286,,
hi,confirmed_7dav_incidence_num,20200429,,20201017,171,3,,
ia,confirmed_7dav_incidence_num,20200429,,20201017,171,442.42857142857,,
id,confirmed_7dav_incidence_num,20200429,,20201017,171,26,,
il,confirmed_7dav_incidence_num,20200429,,20201017,171,2177.4285714286,,
in,confirmed_7dav_incidence_num,20200429,,20201017,171,684.28571428571,,
ks,confirmed_7dav_incidence_num,20200429,,20201017,171,217.71428571429,,
ky,confirmed_7dav_incidence_num,20200429,,20201017,171,167.14285714286,,
la,confirmed_7dav_incidence_num,20200429,,20201017,171,343.71428571429,,
ma,confirmed_7dav_incidence_num,20200429,,20201017,171,2472.5714285714,,
md,confirmed_7dav_incidence_num,20200429,,20201017,171,867.28571428571,,
me,confirmed_7dav_incidence_num,20200429,,20201017,171,21.142857142857,,
mi,confirmed_7dav_incidence_num,20200429,,20201017,171,918.57142857143,,
mn,confirmed_7dav_incidence_num,20200429,,20201017,171,288.14285714286,,
mo,confirmed_7dav_incidence_num,20200429,,20201017,171,181,,
ms,confirmed_7dav_incidence_num,20200429,,20201017,171,238.42857142857,,
mt,confirmed_7dav_incidence_num,20200429,,20201017,171,1.7142857142857,,
nc,confirmed_7dav_incidence_num,20200429,,20201017,171,348.71428571429,,
nd,confirmed_7dav_incidence_num,20200429,,20201017,171,50.571428571429,,
ne,confirmed_7dav_incidence_num,20200429,,20201017,171,297.71428571429,,
nh,confirmed_7dav_incidence_num,20200429,,20201017,171,66.571428571429,,
nj,confirmed_7dav_incidence_num,20200429,,20201017,171,3049.1428571429,,
nm,confirmed_7dav_incidence_num,20200429,,20201017,171,143.28571428571,,
nv,confirmed_7dav_incidence_num,20200429,,20201017,171,122.71428571429,,
ny,confirmed_7dav_incidence_num,20200429,,20201017,171,6021.8571428571,,
oh,confirmed_7dav_incidence_num,20200429,,20201017,171,455,,
ok,confirmed_7dav_incidence_num,20200429,,20201017,171,82.857142857143,,
or,confirmed_7dav_incidence_num,20200429,,20201017,171,55.285714285714,,
pa,confirmed_7dav_incidence_num,20200429,,20201017,171,1241,,
ri,confirmed_7dav_incidence_num,20200429,,20201017,171,326,,
sc,confirmed_7dav_incidence_num,20200429,,20201017,171,160.42857142857,,
sd,confirmed_7dav_incidence_num,20200429,,20201017,171,73.571428571429,,
tn,confirmed_7dav_incidence_num,20200429,,20201017,171,361.14285714286,,
tx,confirmed_7dav_incidence_num,20200429,,20201017,171,844.57142857143,,
ut,confirmed_7dav_incidence_num,20200429,,20201017,171,149.42857142857,,
va,confirmed_7dav_incidence_num,20200429,,20201017,171,671,,
vt,confirmed_7dav_incidence_num,20200429,,20201017,171,5.8571428571429,,
wa,confirmed_7dav_incidence_num,20200429,,20201017,171,225.14285714286,,
wi,confirmed_7dav_incidence_num,20200429,,20201017,171,239.14285714286,,
wv,confirmed_7dav_incidence_num,20200429,,20201017,171,21,,
wy,confirmed_7dav_incidence_num,20200429,,20201017,171,11,,
