geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200508,,20201017,162,1.8571428571429,,
al,confirmed_7dav_incidence_num,20200508,,20201017,162,298.57142857143,,
ar,confirmed_7dav_incidence_num,20200508,,20201017,162,63,,
az,confirmed_7dav_incidence_num,20200508,,20201017,162,366.42857142857,,
ca,confirmed_7dav_incidence_num,20200508,,20201017,162,1759.1428571429,,
co,confirmed_7dav_incidence_num,20200508,,20201017,162,437.28571428571,,
ct,confirmed_7dav_incidence_num,20200508,,20201017,162,521,,
dc,confirmed_7dav_incidence_num,20200508,,20201017,162,177.28571428571,,
de,confirmed_7dav_incidence_num,20200508,,20201017,162,170.42857142857,,
fl,confirmed_7dav_incidence_num,20200508,,20201017,162,638.71428571429,,
ga,confirmed_7dav_incidence_num,20200508,,20201017,162,641,,
hi,confirmed_7dav_incidence_num,20200508,,20201017,162,1.2857142857143,,
ia,confirmed_7dav_incidence_num,20200508,,20201017,162,510,,
id,confirmed_7dav_incidence_num,20200508,,20201017,162,24.428571428571,,
il,confirmed_7dav_incidence_num,20200508,,20201017,162,2529.5714285714,,
in,confirmed_7dav_incidence_num,20200508,,20201017,162,645,,
ks,confirmed_7dav_incidence_num,20200508,,20201017,162,293.14285714286,,
ky,confirmed_7dav_incidence_num,20200508,,20201017,162,203,,
la,confirmed_7dav_incidence_num,20200508,,20201017,162,307,,
ma,confirmed_7dav_incidence_num,20200508,,20201017,162,1574.5714285714,,
md,confirmed_7dav_incidence_num,20200508,,20201017,162,999.14285714286,,
me,confirmed_7dav_incidence_num,20200508,,20201017,162,36,,
mi,confirmed_7dav_incidence_num,20200508,,20201017,162,569.85714285714,,
mn,confirmed_7dav_incidence_num,20200508,,20201017,162,624.85714285714,,
mo,confirmed_7dav_incidence_num,20200508,,20201017,162,233.57142857143,,
ms,confirmed_7dav_incidence_num,20200508,,20201017,162,268.57142857143,,
mt,confirmed_7dav_incidence_num,20200508,,20201017,162,0.85714285714286,,
nc,confirmed_7dav_incidence_num,20200508,,20201017,162,420.85714285714,,
nd,confirmed_7dav_incidence_num,20200508,,20201017,162,45.285714285714,,
ne,confirmed_7dav_incidence_num,20200508,,20201017,162,416.28571428571,,
nh,confirmed_7dav_incidence_num,20200508,,20201017,162,90.857142857143,,
nj,confirmed_7dav_incidence_num,20200508,,20201017,162,2037.7142857143,,
nm,confirmed_7dav_incidence_num,20200508,,20201017,162,163.85714285714,,
nv,confirmed_7dav_incidence_num,20200508,,20201017,162,92.285714285714,,
ny,confirmed_7dav_incidence_num,20200508,,20201017,162,3156.1428571429,,
oh,confirmed_7dav_incidence_num,20200508,,20201017,162,611.28571428571,,
ok,confirmed_7dav_incidence_num,20200508,,20201017,162,95.428571428571,,
or,confirmed_7dav_incidence_num,20200508,,20201017,162,69.714285714286,,
pa,confirmed_7dav_incidence_num,20200508,,20201017,162,1036.8571428571,,
ri,confirmed_7dav_incidence_num,20200508,,20201017,162,289.14285714286,,
sc,confirmed_7dav_incidence_num,20200508,,20201017,162,158.57142857143,,
sd,confirmed_7dav_incidence_num,20200508,,20201017,162,88.571428571429,,
tn,confirmed_7dav_incidence_num,20200508,,20201017,162,363.85714285714,,
tx,confirmed_7dav_incidence_num,20200508,,20201017,162,1070.7142857143,,
ut,confirmed_7dav_incidence_num,20200508,,20201017,162,156.57142857143,,
va,confirmed_7dav_incidence_num,20200508,,20201017,162,777.28571428571,,
vt,confirmed_7dav_incidence_num,20200508,,20201017,162,5.5714285714286,,
wa,confirmed_7dav_incidence_num,20200508,,20201017,162,250.42857142857,,
wi,confirmed_7dav_incidence_num,20200508,,20201017,162,325.28571428571,,
wv,confirmed_7dav_incidence_num,20200508,,20201017,162,24.285714285714,,
wy,confirmed_7dav_incidence_num,20200508,,20201017,162,10.142857142857,,
