geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200529,,20201017,141,3.7142857142857,,
al,confirmed_7dav_incidence_num,20200529,,20201017,141,480.14285714286,,
ar,confirmed_7dav_incidence_num,20200529,,20201017,141,166.57142857143,,
az,confirmed_7dav_incidence_num,20200529,,20201017,141,408.28571428571,,
ca,confirmed_7dav_incidence_num,20200529,,20201017,141,2267.5714285714,,
co,confirmed_7dav_incidence_num,20200529,,20201017,141,303.85714285714,,
ct,confirmed_7dav_incidence_num,20200529,,20201017,141,303.14285714286,,
dc,confirmed_7dav_incidence_num,20200529,,20201017,141,92.142857142857,,
de,confirmed_7dav_incidence_num,20200529,,20201017,141,101,,
fl,confirmed_7dav_incidence_num,20200529,,20201017,141,721.28571428571,,
ga,confirmed_7dav_incidence_num,20200529,,20201017,141,976.28571428571,,
hi,confirmed_7dav_incidence_num,20200529,,20201017,141,0.85714285714286,,
ia,confirmed_7dav_incidence_num,20200529,,20201017,141,340.85714285714,,
id,confirmed_7dav_incidence_num,20200529,,20201017,141,24.571428571429,,
il,confirmed_7dav_incidence_num,20200529,,20201017,141,1715.5714285714,,
in,confirmed_7dav_incidence_num,20200529,,20201017,141,449.57142857143,,
ks,confirmed_7dav_incidence_num,20200529,,20201017,141,104,,
ky,confirmed_7dav_incidence_num,20200529,,20201017,141,147.85714285714,,
la,confirmed_7dav_incidence_num,20200529,,20201017,141,393.71428571429,,
ma,confirmed_7dav_incidence_num,20200529,,20201017,141,660.42857142857,,
md,confirmed_7dav_incidence_num,20200529,,20201017,141,937.57142857143,,
me,confirmed_7dav_incidence_num,20200529,,20201017,141,39.428571428571,,
mi,confirmed_7dav_incidence_num,20200529,,20201017,141,378.85714285714,,
mn,confirmed_7dav_incidence_num,20200529,,20201017,141,646.14285714286,,
mo,confirmed_7dav_incidence_num,20200529,,20201017,141,176,,
ms,confirmed_7dav_incidence_num,20200529,,20201017,141,310.14285714286,,
mt,confirmed_7dav_incidence_num,20200529,,20201017,141,2.5714285714286,,
nc,confirmed_7dav_incidence_num,20200529,,20201017,141,696.28571428571,,
nd,confirmed_7dav_incidence_num,20200529,,20201017,141,35.857142857143,,
ne,confirmed_7dav_incidence_num,20200529,,20201017,141,278,,
nh,confirmed_7dav_incidence_num,20200529,,20201017,141,53.571428571429,,
nj,confirmed_7dav_incidence_num,20200529,,20201017,141,890.28571428571,,
nm,confirmed_7dav_incidence_num,20200529,,20201017,141,123.85714285714,,
nv,confirmed_7dav_incidence_num,20200529,,20201017,141,124.14285714286,,
ny,confirmed_7dav_incidence_num,20200529,,20201017,141,1447.1428571429,,
oh,confirmed_7dav_incidence_num,20200529,,20201017,141,538.42857142857,,
ok,confirmed_7dav_incidence_num,20200529,,20201017,141,69.571428571429,,
or,confirmed_7dav_incidence_num,20200529,,20201017,141,38.571428571429,,
pa,confirmed_7dav_incidence_num,20200529,,20201017,141,640.71428571429,,
ri,confirmed_7dav_incidence_num,20200529,,20201017,141,128.42857142857,,
sc,confirmed_7dav_incidence_num,20200529,,20201017,141,213.57142857143,,
sd,confirmed_7dav_incidence_num,20200529,,20201017,141,72.857142857143,,
tn,confirmed_7dav_incidence_num,20200529,,20201017,141,384.42857142857,,
tx,confirmed_7dav_incidence_num,20200529,,20201017,141,1081.7142857143,,
ut,confirmed_7dav_incidence_num,20200529,,20201017,141,174.57142857143,,
va,confirmed_7dav_incidence_num,20200529,,20201017,141,1082.8571428571,,
vt,confirmed_7dav_incidence_num,20200529,,20201017,141,3.2857142857143,,
wa,confirmed_7dav_incidence_num,20200529,,20201017,141,257.85714285714,,
wi,confirmed_7dav_incidence_num,20200529,,20201017,141,472.85714285714,,
wv,confirmed_7dav_incidence_num,20200529,,20201017,141,47,,
wy,confirmed_7dav_incidence_num,20200529,,20201017,141,12.714285714286,,
