geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200616,,20201017,123,14.714285714286,,
al,confirmed_7dav_incidence_num,20200616,,20201017,123,834.42857142857,,
ar,confirmed_7dav_incidence_num,20200616,,20201017,123,444.85714285714,,
az,confirmed_7dav_incidence_num,20200616,,20201017,123,1543,,
ca,confirmed_7dav_incidence_num,20200616,,20201017,123,3168.8571428571,,
co,confirmed_7dav_incidence_num,20200616,,20201017,123,155.28571428571,,
ct,confirmed_7dav_incidence_num,20200616,,20201017,123,157,,
dc,confirmed_7dav_incidence_num,20200616,,20201017,123,49.142857142857,,
de,confirmed_7dav_incidence_num,20200616,,20201017,123,54.428571428571,,
fl,confirmed_7dav_incidence_num,20200616,,20201017,123,2015.7142857143,,
ga,confirmed_7dav_incidence_num,20200616,,20201017,123,828,,
hi,confirmed_7dav_incidence_num,20200616,,20201017,123,8.2857142857143,,
ia,confirmed_7dav_incidence_num,20200616,,20201017,123,284,,
id,confirmed_7dav_incidence_num,20200616,,20201017,123,45.714285714286,,
il,confirmed_7dav_incidence_num,20200616,,20201017,123,632,,
in,confirmed_7dav_incidence_num,20200616,,20201017,123,390.85714285714,,
ks,confirmed_7dav_incidence_num,20200616,,20201017,123,109.71428571429,,
ky,confirmed_7dav_incidence_num,20200616,,20201017,123,160.14285714286,,
la,confirmed_7dav_incidence_num,20200616,,20201017,123,543.85714285714,,
ma,confirmed_7dav_incidence_num,20200616,,20201017,123,285.57142857143,,
md,confirmed_7dav_incidence_num,20200616,,20201017,123,501.85714285714,,
me,confirmed_7dav_incidence_num,20200616,,20201017,123,30.285714285714,,
mi,confirmed_7dav_incidence_num,20200616,,20201017,123,182.85714285714,,
mn,confirmed_7dav_incidence_num,20200616,,20201017,123,336.85714285714,,
mo,confirmed_7dav_incidence_num,20200616,,20201017,123,215.42857142857,,
ms,confirmed_7dav_incidence_num,20200616,,20201017,123,289.85714285714,,
mt,confirmed_7dav_incidence_num,20200616,,20201017,123,8.8571428571429,,
nc,confirmed_7dav_incidence_num,20200616,,20201017,123,1254.8571428571,,
nd,confirmed_7dav_incidence_num,20200616,,20201017,123,31.857142857143,,
ne,confirmed_7dav_incidence_num,20200616,,20201017,123,166.14285714286,,
nh,confirmed_7dav_incidence_num,20200616,,20201017,123,33.285714285714,,
nj,confirmed_7dav_incidence_num,20200616,,20201017,123,374,,
nm,confirmed_7dav_incidence_num,20200616,,20201017,123,118.42857142857,,
nv,confirmed_7dav_incidence_num,20200616,,20201017,123,234.57142857143,,
ny,confirmed_7dav_incidence_num,20200616,,20201017,123,727.57142857143,,
oh,confirmed_7dav_incidence_num,20200616,,20201017,123,407,,
ok,confirmed_7dav_incidence_num,20200616,,20201017,123,182.71428571429,,
or,confirmed_7dav_incidence_num,20200616,,20201017,123,158.28571428571,,
pa,confirmed_7dav_incidence_num,20200616,,20201017,123,434.57142857143,,
ri,confirmed_7dav_incidence_num,20200616,,20201017,123,67.571428571429,,
sc,confirmed_7dav_incidence_num,20200616,,20201017,123,681.42857142857,,
sd,confirmed_7dav_incidence_num,20200616,,20201017,123,63.285714285714,,
tn,confirmed_7dav_incidence_num,20200616,,20201017,123,613.57142857143,,
tx,confirmed_7dav_incidence_num,20200616,,20201017,123,2241.2857142857,,
ut,confirmed_7dav_incidence_num,20200616,,20201017,123,346,,
va,confirmed_7dav_incidence_num,20200616,,20201017,123,514.14285714286,,
vt,confirmed_7dav_incidence_num,20200616,,20201017,123,6.7142857142857,,
wa,confirmed_7dav_incidence_num,20200616,,20201017,123,311,,
wi,confirmed_7dav_incidence_num,20200616,,20201017,123,269.42857142857,,
wv,confirmed_7dav_incidence_num,20200616,,20201017,123,23,,
wy,confirmed_7dav_incidence_num,20200616,,20201017,123,17,,
