geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200620,,20201017,119,12.857142857143,,
al,confirmed_7dav_incidence_num,20200620,,20201017,119,761.28571428571,,
ar,confirmed_7dav_incidence_num,20200620,,20201017,119,434.71428571429,,
az,confirmed_7dav_incidence_num,20200620,,20201017,119,2191.4285714286,,
ca,confirmed_7dav_incidence_num,20200620,,20201017,119,3444.1428571429,,
co,confirmed_7dav_incidence_num,20200620,,20201017,119,190.28571428571,,
ct,confirmed_7dav_incidence_num,20200620,,20201017,119,103,,
dc,confirmed_7dav_incidence_num,20200620,,20201017,119,39.285714285714,,
de,confirmed_7dav_incidence_num,20200620,,20201017,119,64.285714285714,,
fl,confirmed_7dav_incidence_num,20200620,,20201017,119,2892.5714285714,,
ga,confirmed_7dav_incidence_num,20200620,,20201017,119,999.28571428571,,
hi,confirmed_7dav_incidence_num,20200620,,20201017,119,11.428571428571,,
ia,confirmed_7dav_incidence_num,20200620,,20201017,119,267,,
id,confirmed_7dav_incidence_num,20200620,,20201017,119,86.571428571429,,
il,confirmed_7dav_incidence_num,20200620,,20201017,119,605.57142857143,,
in,confirmed_7dav_incidence_num,20200620,,20201017,119,359.42857142857,,
ks,confirmed_7dav_incidence_num,20200620,,20201017,119,154.28571428571,,
ky,confirmed_7dav_incidence_num,20200620,,20201017,119,169.57142857143,,
la,confirmed_7dav_incidence_num,20200620,,20201017,119,452.85714285714,,
ma,confirmed_7dav_incidence_num,20200620,,20201017,119,220.42857142857,,
md,confirmed_7dav_incidence_num,20200620,,20201017,119,367.14285714286,,
me,confirmed_7dav_incidence_num,20200620,,20201017,119,25.857142857143,,
mi,confirmed_7dav_incidence_num,20200620,,20201017,119,242.57142857143,,
mn,confirmed_7dav_incidence_num,20200620,,20201017,119,328.57142857143,,
mo,confirmed_7dav_incidence_num,20200620,,20201017,119,254.85714285714,,
ms,confirmed_7dav_incidence_num,20200620,,20201017,119,178.71428571429,,
mt,confirmed_7dav_incidence_num,20200620,,20201017,119,15.428571428571,,
nc,confirmed_7dav_incidence_num,20200620,,20201017,119,1224.7142857143,,
nd,confirmed_7dav_incidence_num,20200620,,20201017,119,27.571428571429,,
ne,confirmed_7dav_incidence_num,20200620,,20201017,119,152.14285714286,,
nh,confirmed_7dav_incidence_num,20200620,,20201017,119,31.571428571429,,
nj,confirmed_7dav_incidence_num,20200620,,20201017,119,317.42857142857,,
nm,confirmed_7dav_incidence_num,20200620,,20201017,119,115.71428571429,,
nv,confirmed_7dav_incidence_num,20200620,,20201017,119,272.85714285714,,
ny,confirmed_7dav_incidence_num,20200620,,20201017,119,663.14285714286,,
oh,confirmed_7dav_incidence_num,20200620,,20201017,119,487.14285714286,,
ok,confirmed_7dav_incidence_num,20200620,,20201017,119,280.42857142857,,
or,confirmed_7dav_incidence_num,20200620,,20201017,119,173.28571428571,,
pa,confirmed_7dav_incidence_num,20200620,,20201017,119,400.57142857143,,
ri,confirmed_7dav_incidence_num,20200620,,20201017,119,55.714285714286,,
sc,confirmed_7dav_incidence_num,20200620,,20201017,119,828.71428571429,,
sd,confirmed_7dav_incidence_num,20200620,,20201017,119,56.714285714286,,
tn,confirmed_7dav_incidence_num,20200620,,20201017,119,703,,
tx,confirmed_7dav_incidence_num,20200620,,20201017,119,3072.7142857143,,
ut,confirmed_7dav_incidence_num,20200620,,20201017,119,447,,
va,confirmed_7dav_incidence_num,20200620,,20201017,119,506.71428571429,,
vt,confirmed_7dav_incidence_num,20200620,,20201017,119,3.1428571428571,,
wa,confirmed_7dav_incidence_num,20200620,,20201017,119,383.14285714286,,
wi,confirmed_7dav_incidence_num,20200620,,20201017,119,289,,
wv,confirmed_7dav_incidence_num,20200620,,20201017,119,32.571428571429,,
wy,confirmed_7dav_incidence_num,20200620,,20201017,119,18.571428571429,,
