geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200610,,20201017,129,12.571428571429,,
al,confirmed_7dav_incidence_num,20200610,,20201017,129,439,,
ar,confirmed_7dav_incidence_num,20200610,,20201017,129,329.14285714286,,
az,confirmed_7dav_incidence_num,20200610,,20201017,129,1090.2857142857,,
ca,confirmed_7dav_incidence_num,20200610,,20201017,129,2841.4285714286,,
co,confirmed_7dav_incidence_num,20200610,,20201017,129,205.28571428571,,
ct,confirmed_7dav_incidence_num,20200610,,20201017,129,179.42857142857,,
dc,confirmed_7dav_incidence_num,20200610,,20201017,129,74.428571428571,,
de,confirmed_7dav_incidence_num,20200610,,20201017,129,49.142857142857,,
fl,confirmed_7dav_incidence_num,20200610,,20201017,129,1229.7142857143,,
ga,confirmed_7dav_incidence_num,20200610,,20201017,129,729.14285714286,,
hi,confirmed_7dav_incidence_num,20200610,,20201017,129,4.5714285714286,,
ia,confirmed_7dav_incidence_num,20200610,,20201017,129,356,,
id,confirmed_7dav_incidence_num,20200610,,20201017,129,38.571428571429,,
il,confirmed_7dav_incidence_num,20200610,,20201017,129,858.42857142857,,
in,confirmed_7dav_incidence_num,20200610,,20201017,129,375.42857142857,,
ks,confirmed_7dav_incidence_num,20200610,,20201017,129,88.857142857143,,
ky,confirmed_7dav_incidence_num,20200610,,20201017,129,209.57142857143,,
la,confirmed_7dav_incidence_num,20200610,,20201017,129,415,,
ma,confirmed_7dav_incidence_num,20200610,,20201017,129,366.28571428571,,
md,confirmed_7dav_incidence_num,20200610,,20201017,129,640.28571428571,,
me,confirmed_7dav_incidence_num,20200610,,20201017,129,31.571428571429,,
mi,confirmed_7dav_incidence_num,20200610,,20201017,129,1024.1428571429,,
mn,confirmed_7dav_incidence_num,20200610,,20201017,129,428.28571428571,,
mo,confirmed_7dav_incidence_num,20200610,,20201017,129,203,,
ms,confirmed_7dav_incidence_num,20200610,,20201017,129,310.14285714286,,
mt,confirmed_7dav_incidence_num,20200610,,20201017,129,5.5714285714286,,
nc,confirmed_7dav_incidence_num,20200610,,20201017,129,1056.8571428571,,
nd,confirmed_7dav_incidence_num,20200610,,20201017,129,37.428571428571,,
ne,confirmed_7dav_incidence_num,20200610,,20201017,129,166.85714285714,,
nh,confirmed_7dav_incidence_num,20200610,,20201017,129,54.714285714286,,
nj,confirmed_7dav_incidence_num,20200610,,20201017,129,458.85714285714,,
nm,confirmed_7dav_incidence_num,20200610,,20201017,129,158.85714285714,,
nv,confirmed_7dav_incidence_num,20200610,,20201017,129,183.14285714286,,
ny,confirmed_7dav_incidence_num,20200610,,20201017,129,867.28571428571,,
oh,confirmed_7dav_incidence_num,20200610,,20201017,129,397.28571428571,,
ok,confirmed_7dav_incidence_num,20200610,,20201017,129,96.428571428571,,
or,confirmed_7dav_incidence_num,20200610,,20201017,129,94.428571428571,,
pa,confirmed_7dav_incidence_num,20200610,,20201017,129,491.28571428571,,
ri,confirmed_7dav_incidence_num,20200610,,20201017,129,76.714285714286,,
sc,confirmed_7dav_incidence_num,20200610,,20201017,129,444.42857142857,,
sd,confirmed_7dav_incidence_num,20200610,,20201017,129,63.142857142857,,
tn,confirmed_7dav_incidence_num,20200610,,20201017,129,452.85714285714,,
tx,confirmed_7dav_incidence_num,20200610,,20201017,129,1672.5714285714,,
ut,confirmed_7dav_incidence_num,20200610,,20201017,129,336,,
va,confirmed_7dav_incidence_num,20200610,,20201017,129,752.14285714286,,
vt,confirmed_7dav_incidence_num,20200610,,20201017,129,14.857142857143,,
wa,confirmed_7dav_incidence_num,20200610,,20201017,129,306.71428571429,,
wi,confirmed_7dav_incidence_num,20200610,,20201017,129,314.14285714286,,
wv,confirmed_7dav_incidence_num,20200610,,20201017,129,16.714285714286,,
wy,confirmed_7dav_incidence_num,20200610,,20201017,129,9.1428571428571,,
