geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.85977379457879,0.089975002730681,
al,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.76017663396125,0.036013480671547,
ar,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.8368800401894,0.0328858782824,
az,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.93998589275148,0.029014853299442,
ca,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.51852827032155,0.012865173517779,
co,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.52612070985673,0.02181428226203,
ct,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.52443577479839,0.023227378739099,
dc,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.87860926190318,0.085065915049995,
de,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.44876710557881,0.052215619242763,
fl,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.62625648465474,0.012776810203339,
ga,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.62452980971672,0.020912128036819,
hi,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.29084666747419,0.05287532615767,
ia,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.58752746423815,0.026697499445262,
id,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.57342877668603,0.05223985446064,
il,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.54792922008728,0.018450338321348,
in,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.67184929511816,0.026102393103856,
ks,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.43537110891389,0.028429053954414,
ky,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.61578785662652,0.030317025610659,
la,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.73208452920212,0.030729438645255,
ma,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.48566907236271,0.018307875190572,
md,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.64032253684527,0.026562031622157,
me,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.35167876970158,0.046363271052476,
mi,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.42658391342916,0.013564040932585,
mn,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.66615934859256,0.027488922894717,
mo,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.5946548932699,0.026240900345155,
ms,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.88501423464206,0.035938088752208,
mt,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.44171855132261,0.053810195858286,
nc,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.5895861429076,0.017461029619144,
nd,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.48354960157686,0.070581642317236,
ne,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.64715381238398,0.042710361489849,
nh,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.48095946311517,0.02672973072087,
nj,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.67869401169183,0.020984507911191,
nm,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.75298286609619,0.042629516522238,
nv,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.51829755375554,0.041637556638345,
ny,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.64009891566795,0.017081886147362,
oh,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.41192546236801,0.017950161545339,
ok,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.87219796790473,0.03921891422834,
or,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.5339808060942,0.025887183505843,
pa,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.45000063734803,0.012568228831429,
pr,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.30613763871066,0.21796420898939,
ri,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.57277252224165,0.066006194341305,
sc,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.78452242281308,0.028522015994707,
sd,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.79503821319303,0.057969790603365,
tn,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.61304286591052,0.027558592035914,
tx,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.88612320129167,0.014843689852421,
ut,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.6768489725552,0.042331254908895,
va,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.50607820160325,0.01721386030739,
vt,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.30272461973964,0.049257503094082,
wa,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.45425475456204,0.02078168313556,
wi,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.56757933488576,0.021431183403134,
wv,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.3900589085717,0.035174175162022,
wy,nmf_day_doc_fbc_fbs_ght,20200616,,20200914,90,0.59352298341647,0.10970337380146,
