geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.48841941019002,0.072094037233869,
al,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.78746549082835,0.026943454235576,
ar,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.71800108827067,0.050191895333561,
az,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.64633073262085,0.028734850750288,
ca,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.45849387373229,0.011064968832727,
co,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.54400073911439,0.02486423205446,
ct,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.69475341251798,0.028239834841768,
dc,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,1.1879321702502,0.087649534497942,
de,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.57627573261895,0.056155353477991,
fl,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.46418593873169,0.013917560049446,
ga,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.57994829745952,0.019434160773727,
hi,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.24824039161833,0.029740793874582,
ia,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.73022660075098,0.031651893144115,
id,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.48038575662532,0.046255491939562,
il,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.68962904107372,0.017467283721026,
in,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.70962163958617,0.024285486017318,
ks,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.57997617805049,0.030142837041389,
ky,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.54995515819606,0.028337553575899,
la,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.79600649118156,0.027175800400968,
ma,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.52248424914307,0.02079771230015,
md,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.78403204847049,0.035507683080468,
me,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.32892073222804,0.036384463203562,
mi,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.50414874012026,0.015176186865657,
mn,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.64578520986592,0.030352032452481,
mo,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.70433518046105,0.026728473331724,
ms,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.81047898558563,0.042075198253899,
mt,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.3391126906066,0.055662271893636,
nc,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.56915863382785,0.017302169103548,
nd,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.91480710559597,0.078942988692113,
ne,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.77006381964773,0.044019666115932,
nh,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.42531612206302,0.027787500136913,
nj,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.77709435180995,0.02108446945394,
nm,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.51586800315524,0.038233315816451,
nv,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.61988249875541,0.054452894006069,
ny,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.69324712154625,0.013342702905717,
oh,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.50426177926139,0.017472827110302,
ok,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.52297641754253,0.030888342238551,
or,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.35834102104446,0.022854448211681,
pa,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.51449798708259,0.016984988873072,
pr,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.56965660349174,0.21894125014159,
ri,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.50929773571428,0.040764926663354,
sc,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.50665215315827,0.024002876533944,
sd,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.71416593546183,0.066905203611996,
tn,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.59766954610288,0.019366167679689,
tx,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.56010643572427,0.013629001437883,
ut,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.79851030893585,0.035207596074443,
va,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.66875232712975,0.020174167268746,
vt,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.82533708997527,0.052161076817607,
wa,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.44911648337898,0.019319324036934,
wi,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.50756549851549,0.022952569716495,
wv,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.5520989301081,0.035011720935528,
wy,nmf_day_doc_fbc_fbs_ght,20200603,,20200901,90,0.5255150486824,0.087592261864474,
