geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.70016874650679,0.087953198437079,
al,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.2082107902478,0.040862615655563,
ar,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.1354799883125,0.042770361185297,
az,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.4524006896844,0.034715702968025,
ca,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.85548062613481,0.014253253761998,
co,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.570832132176,0.025472654869311,
ct,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.57730374163474,0.021189430735777,
dc,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.95529212589457,0.066026501371849,
de,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.66904818484336,0.067315732770541,
fl,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.3275631140718,0.018970964628253,
ga,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.1072141044346,0.028160546429181,
hi,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.36950221040951,0.04570723713857,
ia,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.79533526770043,0.034531781769231,
id,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.83755178579726,0.052853492812943,
il,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.62093834647167,0.016086054753956,
in,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.7806669689642,0.027333428349708,
ks,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.80520497045489,0.031642175420352,
ky,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.67947240912683,0.029478720428476,
la,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.4518251416032,0.036031342884318,
ma,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.5073352434075,0.02288600734736,
md,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.67987492684661,0.024557821521376,
me,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.41116110903333,0.04240534740528,
mi,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.64166837988844,0.021254082447491,
mn,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.7680652945061,0.027496222655494,
mo,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.0078411931734,0.03195599256812,
ms,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.507537659833,0.045591830700189,
mt,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.54213785470296,0.049490472925555,
nc,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.7972747340763,0.018453206275983,
nd,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.61750220682504,0.093161750697334,
ne,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.67004070896774,0.045166241597207,
nh,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.4077288156489,0.033909501208202,
nj,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.8228670168388,0.019570568292029,
nm,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.70523579732558,0.046364434350717,
nv,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.8322277616914,0.05556989085364,
ny,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.69425493434158,0.01408310850991,
oh,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.53472233791671,0.014882177985356,
ok,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.0332509325729,0.038565364436978,
or,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.6114544439026,0.026291195605621,
pa,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.57720062378148,0.015895908584604,
pr,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.74322791850417,0.27004679930987,
ri,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.4506526381414,0.046883486378368,
sc,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.290612476535,0.034441001092492,
sd,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.71868924180464,0.077742959214585,
tn,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.95384077141387,0.029339722033802,
tx,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,1.7370668609533,0.021030502078562,
ut,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.82623452895392,0.034415600347916,
va,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.72200717073127,0.022436440401443,
vt,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.2193373031248,0.032954008860029,
wa,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.53009764023127,0.019884788034856,
wi,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.65014650608908,0.023017963952101,
wv,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.68461100226998,0.046589325079648,
wy,nmf_day_doc_fbc_fbs_ght,20200701,,20200929,90,0.67181556678686,0.082803005221162,
