geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,1.0467957765386,0.093402473634967,
al,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.75136739754639,0.037846422665178,
ar,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.79677000313851,0.044396366118506,
az,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.83505519719688,0.036082899493431,
ca,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.52430265433524,0.01240489002402,
co,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.55146989399595,0.025428329205911,
ct,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.63743772295885,0.031677063648482,
dc,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.81036127389447,0.11554287031688,
de,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.52319056899802,0.059443219643835,
fl,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.53846558450917,0.013194262784997,
ga,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.64315641073488,0.026009673362914,
hi,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.30218248654321,0.050621882575605,
ia,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.64849353153389,0.043853871380206,
id,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.36912023259066,0.037339091355358,
il,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.56474888164579,0.020350040583781,
in,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.70809331415513,0.033871982529667,
ks,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.52180683596041,0.037938815984017,
ky,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.58677104775043,0.031379498891041,
la,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.81462663123377,0.0360071322733,
ma,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.55393647042833,0.027630684855106,
md,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.65808481590541,0.033615600932431,
me,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.41541228015224,0.04776477384259,
mi,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.47038646886031,0.018173386886856,
mn,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.64521388234467,0.031258078455895,
mo,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.60921664351438,0.034636406363427,
ms,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.95081978384703,0.048718801027134,
mt,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.2737342799332,0.042801035500062,
nc,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.55923741383346,0.019591094197961,
nd,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.618739547213,0.07829611873105,
ne,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.66517871178977,0.049291717311593,
nh,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.49003130304186,0.04001658619304,
nj,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.76030822515498,0.027458652554426,
nm,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.58489083163885,0.049551955341281,
nv,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.60602378488669,0.054502919639565,
ny,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.6353023586775,0.016878960263025,
oh,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.44031202898932,0.018351021788224,
ok,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.63724038389386,0.043613656117905,
or,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.51111406911762,0.030631953587774,
pa,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.46771240003904,0.013954345686161,
pr,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.26620212554084,0.20972298881662,
ri,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.49425122670312,0.047113756329991,
sc,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.70811742149035,0.024684560869223,
sd,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.84039018893326,0.072782134303352,
tn,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.59072272335918,0.029238028759227,
tx,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.7273916505238,0.016737128604881,
ut,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.59691118217388,0.035582729750566,
va,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.58021392956577,0.025693671064486,
vt,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.26756073962354,0.044046589647003,
wa,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.43596148509492,0.025782381600574,
wi,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.44548413154427,0.018829041117474,
wv,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.48528624798936,0.043442946089386,
wy,nmf_day_doc_fbc_fbs_ght,20200612,,20200910,90,0.64280164395196,0.11321624916412,
