geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200624,,20201017,115,9,,
al,confirmed_7dav_incidence_num,20200624,,20201017,115,678.85714285714,,
ar,confirmed_7dav_incidence_num,20200624,,20201017,115,538,,
az,confirmed_7dav_incidence_num,20200624,,20201017,115,2721.2857142857,,
ca,confirmed_7dav_incidence_num,20200624,,20201017,115,4588,,
co,confirmed_7dav_incidence_num,20200624,,20201017,115,211.85714285714,,
ct,confirmed_7dav_incidence_num,20200624,,20201017,115,80.571428571429,,
dc,confirmed_7dav_incidence_num,20200624,,20201017,115,40.142857142857,,
de,confirmed_7dav_incidence_num,20200624,,20201017,115,63.142857142857,,
fl,confirmed_7dav_incidence_num,20200624,,20201017,115,3756.8571428571,,
ga,confirmed_7dav_incidence_num,20200624,,20201017,115,1345.1428571429,,
hi,confirmed_7dav_incidence_num,20200624,,20201017,115,13,,
ia,confirmed_7dav_incidence_num,20200624,,20201017,115,317.28571428571,,
id,confirmed_7dav_incidence_num,20200624,,20201017,115,144.42857142857,,
il,confirmed_7dav_incidence_num,20200624,,20201017,115,621.57142857143,,
in,confirmed_7dav_incidence_num,20200624,,20201017,115,309.14285714286,,
ks,confirmed_7dav_incidence_num,20200624,,20201017,115,187.42857142857,,
ky,confirmed_7dav_incidence_num,20200624,,20201017,115,196.42857142857,,
la,confirmed_7dav_incidence_num,20200624,,20201017,115,632.71428571429,,
ma,confirmed_7dav_incidence_num,20200624,,20201017,115,208.57142857143,,
md,confirmed_7dav_incidence_num,20200624,,20201017,115,296.42857142857,,
me,confirmed_7dav_incidence_num,20200624,,20201017,115,25.714285714286,,
mi,confirmed_7dav_incidence_num,20200624,,20201017,115,293.71428571429,,
mn,confirmed_7dav_incidence_num,20200624,,20201017,115,352.57142857143,,
mo,confirmed_7dav_incidence_num,20200624,,20201017,115,320.28571428571,,
ms,confirmed_7dav_incidence_num,20200624,,20201017,115,403.85714285714,,
mt,confirmed_7dav_incidence_num,20200624,,20201017,115,20.571428571429,,
nc,confirmed_7dav_incidence_num,20200624,,20201017,115,1294,,
nd,confirmed_7dav_incidence_num,20200624,,20201017,115,28.714285714286,,
ne,confirmed_7dav_incidence_num,20200624,,20201017,115,140.71428571429,,
nh,confirmed_7dav_incidence_num,20200624,,20201017,115,23.285714285714,,
nj,confirmed_7dav_incidence_num,20200624,,20201017,115,307.85714285714,,
nm,confirmed_7dav_incidence_num,20200624,,20201017,115,132.28571428571,,
nv,confirmed_7dav_incidence_num,20200624,,20201017,115,358.14285714286,,
ny,confirmed_7dav_incidence_num,20200624,,20201017,115,646.42857142857,,
oh,confirmed_7dav_incidence_num,20200624,,20201017,115,619.57142857143,,
ok,confirmed_7dav_incidence_num,20200624,,20201017,115,372.28571428571,,
or,confirmed_7dav_incidence_num,20200624,,20201017,115,175,,
pa,confirmed_7dav_incidence_num,20200624,,20201017,115,481.85714285714,,
ri,confirmed_7dav_incidence_num,20200624,,20201017,115,56.142857142857,,
sc,confirmed_7dav_incidence_num,20200624,,20201017,115,1041.5714285714,,
sd,confirmed_7dav_incidence_num,20200624,,20201017,115,53.571428571429,,
tn,confirmed_7dav_incidence_num,20200624,,20201017,115,729.85714285714,,
tx,confirmed_7dav_incidence_num,20200624,,20201017,115,4227.4285714286,,
ut,confirmed_7dav_incidence_num,20200624,,20201017,115,493.14285714286,,
va,confirmed_7dav_incidence_num,20200624,,20201017,115,533.28571428571,,
vt,confirmed_7dav_incidence_num,20200624,,20201017,115,7.7142857142857,,
wa,confirmed_7dav_incidence_num,20200624,,20201017,115,440.14285714286,,
wi,confirmed_7dav_incidence_num,20200624,,20201017,115,330.14285714286,,
wv,confirmed_7dav_incidence_num,20200624,,20201017,115,36.571428571429,,
wy,confirmed_7dav_incidence_num,20200624,,20201017,115,24,,
