geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.7104952936935,0.088348340688485,
al,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.76686179096237,0.041891753396169,
ar,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.83721476435638,0.046181635224766,
az,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.7442191178004,0.032614518047139,
ca,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.64464505490169,0.011672853800533,
co,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.1515526967562,0.032865431500673,
ct,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.2129565679497,0.035511449721569,
dc,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.1278758095358,0.12667724408813,
de,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.0884315286623,0.079580250038122,
fl,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.67692549839371,0.013256606351296,
ga,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.86464347015078,0.025209927132064,
hi,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.41509597510739,0.051282005581144,
ia,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.97865993750464,0.031363891333112,
id,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.7141162553192,0.053714542151328,
il,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.2921828853923,0.022021058115335,
in,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.90700873519968,0.029311520339912,
ks,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.71740822760968,0.037266247954001,
ky,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.77625066358692,0.035989229593775,
la,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.0160491802608,0.026796834383561,
ma,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.88283223295919,0.032912930111075,
md,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.1303794393617,0.042933841780808,
me,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.69194387966896,0.053401801303691,
mi,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.98338518554517,0.021573874106036,
mn,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.99089123075564,0.041701127292222,
mo,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.69202826903364,0.029523035210543,
ms,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.0302477655288,0.041678148117916,
mt,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.52197454743665,0.065605125765825,
nc,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.6419632676718,0.01995507243664,
nd,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.57178118333206,0.066840144877702,
ne,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.97021779135349,0.038406144471749,
nh,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.84953275212182,0.062765361137798,
nj,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.537156603894,0.034543536271121,
nm,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.0038441642347,0.058364379398167,
nv,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.74596905274806,0.055258390993001,
ny,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.9665257705006,0.020075563686928,
oh,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.64525692893606,0.020469246717534,
ok,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.70655418194699,0.037080095547878,
or,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.67760918216997,0.034119128148492,
pa,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.78241676750932,0.018573946701596,
ri,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.80838416469451,0.056734767915682,
sc,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.72579796791584,0.025563981918964,
sd,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.81788018691763,0.079910867074924,
tn,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.7679435904405,0.029772443340241,
tx,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.75131265112683,0.014890858631716,
ut,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.77692764182554,0.042312848330608,
va,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.79898111052153,0.021416982718862,
vt,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.64077227135329,0.094349169869006,
wa,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.57762142545367,0.023996176328249,
wi,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.60199511725309,0.02602480415919,
wv,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,0.79428760637055,0.043421210290149,
wy,nmf_day_doc_fbc_fbs_ght,20200506,,20200804,90,1.06055971067,0.130458711001,
