geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200526,,20201017,144,1.5714285714286,,
al,confirmed_7dav_incidence_num,20200526,,20201017,144,467.71428571429,,
ar,confirmed_7dav_incidence_num,20200526,,20201017,144,179.28571428571,,
az,confirmed_7dav_incidence_num,20200526,,20201017,144,316.57142857143,,
ca,confirmed_7dav_incidence_num,20200526,,20201017,144,2283,,
co,confirmed_7dav_incidence_num,20200526,,20201017,144,295.28571428571,,
ct,confirmed_7dav_incidence_num,20200526,,20201017,144,400.57142857143,,
dc,confirmed_7dav_incidence_num,20200526,,20201017,144,128.57142857143,,
de,confirmed_7dav_incidence_num,20200526,,20201017,144,147,,
fl,confirmed_7dav_incidence_num,20200526,,20201017,144,759.14285714286,,
ga,confirmed_7dav_incidence_num,20200526,,20201017,144,798.42857142857,,
hi,confirmed_7dav_incidence_num,20200526,,20201017,144,0.57142857142857,,
ia,confirmed_7dav_incidence_num,20200526,,20201017,144,337.28571428571,,
id,confirmed_7dav_incidence_num,20200526,,20201017,144,31.714285714286,,
il,confirmed_7dav_incidence_num,20200526,,20201017,144,2166.7142857143,,
in,confirmed_7dav_incidence_num,20200526,,20201017,144,480.71428571429,,
ks,confirmed_7dav_incidence_num,20200526,,20201017,144,123.71428571429,,
ky,confirmed_7dav_incidence_num,20200526,,20201017,144,128.71428571429,,
la,confirmed_7dav_incidence_num,20200526,,20201017,144,429.42857142857,,
ma,confirmed_7dav_incidence_num,20200526,,20201017,144,824,,
md,confirmed_7dav_incidence_num,20200526,,20201017,144,877,,
me,confirmed_7dav_incidence_num,20200526,,20201017,144,52.428571428571,,
mi,confirmed_7dav_incidence_num,20200526,,20201017,144,391,,
mn,confirmed_7dav_incidence_num,20200526,,20201017,144,704.71428571429,,
mo,confirmed_7dav_incidence_num,20200526,,20201017,144,180.42857142857,,
ms,confirmed_7dav_incidence_num,20200526,,20201017,144,288.42857142857,,
mt,confirmed_7dav_incidence_num,20200526,,20201017,144,1.5714285714286,,
nc,confirmed_7dav_incidence_num,20200526,,20201017,144,630.42857142857,,
nd,confirmed_7dav_incidence_num,20200526,,20201017,144,61.142857142857,,
ne,confirmed_7dav_incidence_num,20200526,,20201017,144,248.28571428571,,
nh,confirmed_7dav_incidence_num,20200526,,20201017,144,72.857142857143,,
nj,confirmed_7dav_incidence_num,20200526,,20201017,144,967.42857142857,,
nm,confirmed_7dav_incidence_num,20200526,,20201017,144,134.42857142857,,
nv,confirmed_7dav_incidence_num,20200526,,20201017,144,131.85714285714,,
ny,confirmed_7dav_incidence_num,20200526,,20201017,144,1570.1428571429,,
oh,confirmed_7dav_incidence_num,20200526,,20201017,144,579.28571428571,,
ok,confirmed_7dav_incidence_num,20200526,,20201017,144,92.428571428571,,
or,confirmed_7dav_incidence_num,20200526,,20201017,144,34.714285714286,,
pa,confirmed_7dav_incidence_num,20200526,,20201017,144,709.57142857143,,
ri,confirmed_7dav_incidence_num,20200526,,20201017,144,179.85714285714,,
sc,confirmed_7dav_incidence_num,20200526,,20201017,144,195,,
sd,confirmed_7dav_incidence_num,20200526,,20201017,144,81,,
tn,confirmed_7dav_incidence_num,20200526,,20201017,144,370.14285714286,,
tx,confirmed_7dav_incidence_num,20200526,,20201017,144,969.71428571429,,
ut,confirmed_7dav_incidence_num,20200526,,20201017,144,155.28571428571,,
va,confirmed_7dav_incidence_num,20200526,,20201017,144,1028,,
vt,confirmed_7dav_incidence_num,20200526,,20201017,144,3.4285714285714,,
wa,confirmed_7dav_incidence_num,20200526,,20201017,144,196,,
wi,confirmed_7dav_incidence_num,20200526,,20201017,144,425.28571428571,,
wv,confirmed_7dav_incidence_num,20200526,,20201017,144,39.857142857143,,
wy,confirmed_7dav_incidence_num,20200526,,20201017,144,10.714285714286,,
