geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200623,,20201017,116,11.857142857143,,
al,confirmed_7dav_incidence_num,20200623,,20201017,116,597.85714285714,,
ar,confirmed_7dav_incidence_num,20200623,,20201017,116,498.14285714286,,
az,confirmed_7dav_incidence_num,20200623,,20201017,116,2750.8571428571,,
ca,confirmed_7dav_incidence_num,20200623,,20201017,116,4507.7142857143,,
co,confirmed_7dav_incidence_num,20200623,,20201017,116,208.85714285714,,
ct,confirmed_7dav_incidence_num,20200623,,20201017,116,88.714285714286,,
dc,confirmed_7dav_incidence_num,20200623,,20201017,116,39.428571428571,,
de,confirmed_7dav_incidence_num,20200623,,20201017,116,63.714285714286,,
fl,confirmed_7dav_incidence_num,20200623,,20201017,116,3339.5714285714,,
ga,confirmed_7dav_incidence_num,20200623,,20201017,116,1245.8571428571,,
hi,confirmed_7dav_incidence_num,20200623,,20201017,116,11.285714285714,,
ia,confirmed_7dav_incidence_num,20200623,,20201017,116,311.14285714286,,
id,confirmed_7dav_incidence_num,20200623,,20201017,116,122.71428571429,,
il,confirmed_7dav_incidence_num,20200623,,20201017,116,598.42857142857,,
in,confirmed_7dav_incidence_num,20200623,,20201017,116,301,,
ks,confirmed_7dav_incidence_num,20200623,,20201017,116,157,,
ky,confirmed_7dav_incidence_num,20200623,,20201017,116,188.71428571429,,
la,confirmed_7dav_incidence_num,20200623,,20201017,116,598.42857142857,,
ma,confirmed_7dav_incidence_num,20200623,,20201017,116,222.14285714286,,
md,confirmed_7dav_incidence_num,20200623,,20201017,116,331.28571428571,,
me,confirmed_7dav_incidence_num,20200623,,20201017,116,25.285714285714,,
mi,confirmed_7dav_incidence_num,20200623,,20201017,116,276,,
mn,confirmed_7dav_incidence_num,20200623,,20201017,116,370.14285714286,,
mo,confirmed_7dav_incidence_num,20200623,,20201017,116,309.14285714286,,
ms,confirmed_7dav_incidence_num,20200623,,20201017,116,394.42857142857,,
mt,confirmed_7dav_incidence_num,20200623,,20201017,116,17.285714285714,,
nc,confirmed_7dav_incidence_num,20200623,,20201017,116,1224,,
nd,confirmed_7dav_incidence_num,20200623,,20201017,116,27.857142857143,,
ne,confirmed_7dav_incidence_num,20200623,,20201017,116,149.85714285714,,
nh,confirmed_7dav_incidence_num,20200623,,20201017,116,29.571428571429,,
nj,confirmed_7dav_incidence_num,20200623,,20201017,116,320.28571428571,,
nm,confirmed_7dav_incidence_num,20200623,,20201017,116,129.28571428571,,
nv,confirmed_7dav_incidence_num,20200623,,20201017,116,330.71428571429,,
ny,confirmed_7dav_incidence_num,20200623,,20201017,116,644.28571428571,,
oh,confirmed_7dav_incidence_num,20200623,,20201017,116,588.57142857143,,
ok,confirmed_7dav_incidence_num,20200623,,20201017,116,341,,
or,confirmed_7dav_incidence_num,20200623,,20201017,116,168.14285714286,,
pa,confirmed_7dav_incidence_num,20200623,,20201017,116,459.71428571429,,
ri,confirmed_7dav_incidence_num,20200623,,20201017,116,52.714285714286,,
sc,confirmed_7dav_incidence_num,20200623,,20201017,116,940.14285714286,,
sd,confirmed_7dav_incidence_num,20200623,,20201017,116,56,,
tn,confirmed_7dav_incidence_num,20200623,,20201017,116,640.85714285714,,
tx,confirmed_7dav_incidence_num,20200623,,20201017,116,3883.1428571429,,
ut,confirmed_7dav_incidence_num,20200623,,20201017,116,480.14285714286,,
va,confirmed_7dav_incidence_num,20200623,,20201017,116,519,,
vt,confirmed_7dav_incidence_num,20200623,,20201017,116,4.8571428571429,,
wa,confirmed_7dav_incidence_num,20200623,,20201017,116,407.57142857143,,
wi,confirmed_7dav_incidence_num,20200623,,20201017,116,305.14285714286,,
wv,confirmed_7dav_incidence_num,20200623,,20201017,116,35.857142857143,,
wy,confirmed_7dav_incidence_num,20200623,,20201017,116,23.714285714286,,
