geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200630,,20201017,109,24.714285714286,,
al,confirmed_7dav_incidence_num,20200630,,20201017,109,992.57142857143,,
ar,confirmed_7dav_incidence_num,20200630,,20201017,109,585.28571428571,,
az,confirmed_7dav_incidence_num,20200630,,20201017,109,2978.8571428571,,
ca,confirmed_7dav_incidence_num,20200630,,20201017,109,5680,,
co,confirmed_7dav_incidence_num,20200630,,20201017,109,260.28571428571,,
ct,confirmed_7dav_incidence_num,20200630,,20201017,109,88,,
dc,confirmed_7dav_incidence_num,20200630,,20201017,109,33.285714285714,,
de,confirmed_7dav_incidence_num,20200630,,20201017,109,90.285714285714,,
fl,confirmed_7dav_incidence_num,20200630,,20201017,109,6991,,
ga,confirmed_7dav_incidence_num,20200630,,20201017,109,2021,,
hi,confirmed_7dav_incidence_num,20200630,,20201017,109,14,,
ia,confirmed_7dav_incidence_num,20200630,,20201017,109,372.14285714286,,
id,confirmed_7dav_incidence_num,20200630,,20201017,109,245.28571428571,,
il,confirmed_7dav_incidence_num,20200630,,20201017,109,766.42857142857,,
in,confirmed_7dav_incidence_num,20200630,,20201017,109,389.42857142857,,
ks,confirmed_7dav_incidence_num,20200630,,20201017,109,283,,
ky,confirmed_7dav_incidence_num,20200630,,20201017,109,211.85714285714,,
la,confirmed_7dav_incidence_num,20200630,,20201017,109,928.57142857143,,
ma,confirmed_7dav_incidence_num,20200630,,20201017,109,206.14285714286,,
md,confirmed_7dav_incidence_num,20200630,,20201017,109,403.42857142857,,
me,confirmed_7dav_incidence_num,20200630,,20201017,109,42.142857142857,,
mi,confirmed_7dav_incidence_num,20200630,,20201017,109,361.57142857143,,
mn,confirmed_7dav_incidence_num,20200630,,20201017,109,404.42857142857,,
mo,confirmed_7dav_incidence_num,20200630,,20201017,109,438.85714285714,,
ms,confirmed_7dav_incidence_num,20200630,,20201017,109,621.42857142857,,
mt,confirmed_7dav_incidence_num,20200630,,20201017,109,34.571428571429,,
nc,confirmed_7dav_incidence_num,20200630,,20201017,109,1460.8571428571,,
nd,confirmed_7dav_incidence_num,20200630,,20201017,109,36.714285714286,,
ne,confirmed_7dav_incidence_num,20200630,,20201017,109,156.14285714286,,
nh,confirmed_7dav_incidence_num,20200630,,20201017,109,30.142857142857,,
nj,confirmed_7dav_incidence_num,20200630,,20201017,109,273.14285714286,,
nm,confirmed_7dav_incidence_num,20200630,,20201017,109,187,,
nv,confirmed_7dav_incidence_num,20200630,,20201017,109,637.14285714286,,
ny,confirmed_7dav_incidence_num,20200630,,20201017,109,620.28571428571,,
oh,confirmed_7dav_incidence_num,20200630,,20201017,109,809,,
ok,confirmed_7dav_incidence_num,20200630,,20201017,109,389.14285714286,,
or,confirmed_7dav_incidence_num,20200630,,20201017,109,197.57142857143,,
pa,confirmed_7dav_incidence_num,20200630,,20201017,109,558.42857142857,,
ri,confirmed_7dav_incidence_num,20200630,,20201017,109,40,,
sc,confirmed_7dav_incidence_num,20200630,,20201017,109,1389.4285714286,,
sd,confirmed_7dav_incidence_num,20200630,,20201017,109,58.857142857143,,
tn,confirmed_7dav_incidence_num,20200630,,20201017,109,1051.1428571429,,
tx,confirmed_7dav_incidence_num,20200630,,20201017,109,5654.2857142857,,
ut,confirmed_7dav_incidence_num,20200630,,20201017,109,565.57142857143,,
va,confirmed_7dav_incidence_num,20200630,,20201017,109,546,,
vt,confirmed_7dav_incidence_num,20200630,,20201017,109,6.2857142857143,,
wa,confirmed_7dav_incidence_num,20200630,,20201017,109,491.28571428571,,
wi,confirmed_7dav_incidence_num,20200630,,20201017,109,475.28571428571,,
wv,confirmed_7dav_incidence_num,20200630,,20201017,109,43.714285714286,,
wy,confirmed_7dav_incidence_num,20200630,,20201017,109,33.142857142857,,
