geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200420,,20201017,180,6.2857142857143,,
al,confirmed_7dav_incidence_num,20200420,,20201017,180,181.85714285714,,
ar,confirmed_7dav_incidence_num,20200420,,20201017,180,71.142857142857,,
az,confirmed_7dav_incidence_num,20200420,,20201017,180,194.71428571429,,
ca,confirmed_7dav_incidence_num,20200420,,20201017,180,1347.4285714286,,
co,confirmed_7dav_incidence_num,20200420,,20201017,180,424.71428571429,,
ct,confirmed_7dav_incidence_num,20200420,,20201017,180,919.14285714286,,
dc,confirmed_7dav_incidence_num,20200420,,20201017,180,150.28571428571,,
de,confirmed_7dav_incidence_num,20200420,,20201017,180,140.57142857143,,
fl,confirmed_7dav_incidence_num,20200420,,20201017,180,862.42857142857,,
ga,confirmed_7dav_incidence_num,20200420,,20201017,180,780.42857142857,,
hi,confirmed_7dav_incidence_num,20200420,,20201017,180,11.428571428571,,
ia,confirmed_7dav_incidence_num,20200420,,20201017,180,206.28571428571,,
id,confirmed_7dav_incidence_num,20200420,,20201017,180,40.428571428571,,
il,confirmed_7dav_incidence_num,20200420,,20201017,180,1354.5714285714,,
in,confirmed_7dav_incidence_num,20200420,,20201017,180,493.57142857143,,
ks,confirmed_7dav_incidence_num,20200420,,20201017,180,87.142857142857,,
ky,confirmed_7dav_incidence_num,20200420,,20201017,180,141.71428571429,,
la,confirmed_7dav_incidence_num,20200420,,20201017,180,501.14285714286,,
ma,confirmed_7dav_incidence_num,20200420,,20201017,180,1825.2857142857,,
md,confirmed_7dav_incidence_num,20200420,,20201017,180,677.85714285714,,
me,confirmed_7dav_incidence_num,20200420,,20201017,180,25.428571428571,,
mi,confirmed_7dav_incidence_num,20200420,,20201017,180,908.42857142857,,
mn,confirmed_7dav_incidence_num,20200420,,20201017,180,116.57142857143,,
mo,confirmed_7dav_incidence_num,20200420,,20201017,180,202.28571428571,,
ms,confirmed_7dav_incidence_num,20200420,,20201017,180,224,,
mt,confirmed_7dav_incidence_num,20200420,,20201017,180,14.571428571429,,
nc,confirmed_7dav_incidence_num,20200420,,20201017,180,271.71428571429,,
nd,confirmed_7dav_incidence_num,20200420,,20201017,180,42.285714285714,,
ne,confirmed_7dav_incidence_num,20200420,,20201017,180,65.857142857143,,
nh,confirmed_7dav_incidence_num,20200420,,20201017,180,61.142857142857,,
nj,confirmed_7dav_incidence_num,20200420,,20201017,180,3438.1428571429,,
nm,confirmed_7dav_incidence_num,20200420,,20201017,180,89.428571428571,,
nv,confirmed_7dav_incidence_num,20200420,,20201017,180,170.14285714286,,
ny,confirmed_7dav_incidence_num,20200420,,20201017,180,7497.2857142857,,
oh,confirmed_7dav_incidence_num,20200420,,20201017,180,849.14285714286,,
ok,confirmed_7dav_incidence_num,20200420,,20201017,180,42,,
or,confirmed_7dav_incidence_num,20200420,,20201017,180,53,,
pa,confirmed_7dav_incidence_num,20200420,,20201017,180,1290.7142857143,,
ri,confirmed_7dav_incidence_num,20200420,,20201017,180,302,,
sc,confirmed_7dav_incidence_num,20200420,,20201017,180,142.28571428571,,
sd,confirmed_7dav_incidence_num,20200420,,20201017,180,109.85714285714,,
tn,confirmed_7dav_incidence_num,20200420,,20201017,180,232.71428571429,,
tx,confirmed_7dav_incidence_num,20200420,,20201017,180,749.28571428571,,
ut,confirmed_7dav_incidence_num,20200420,,20201017,180,122.42857142857,,
va,confirmed_7dav_incidence_num,20200420,,20201017,180,465.28571428571,,
vt,confirmed_7dav_incidence_num,20200420,,20201017,180,9.2857142857143,,
wa,confirmed_7dav_incidence_num,20200420,,20201017,180,221.14285714286,,
wi,confirmed_7dav_incidence_num,20200420,,20201017,180,153,,
wv,confirmed_7dav_incidence_num,20200420,,20201017,180,39.285714285714,,
wy,confirmed_7dav_incidence_num,20200420,,20201017,180,6,,
