geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.75979780895126,0.1431346764904,
al,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0626108598993,0.070675584754766,
ar,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0066369036483,0.076036639061093,
az,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.94374854158527,0.049308127471617,
ca,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.781608661408,0.020150355841756,
co,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.3131038992731,0.058382620080231,
ct,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.3242456633998,0.056188946174628,
dc,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.86194244468773,0.22471916041259,
de,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.5538125921853,0.1377666089885,
fl,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.8873211261316,0.025403957238996,
ga,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.95644910904716,0.043958295129563,
hi,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.70955912026309,0.092038271925792,
ia,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.067420286529,0.071924067911732,
id,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0552773517092,0.096740611193136,
il,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.1246152810587,0.033925645491208,
in,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.1350788925846,0.051644851752619,
ks,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.94731295775621,0.070381586884248,
ky,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.9051968671998,0.076484454903508,
la,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.1846596617312,0.054358734840378,
ma,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.2158387823764,0.053164257490643,
md,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.88699820173995,0.053365660244901,
me,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.88126068116437,0.08957041553794,
mi,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.12815960624,0.036394390139789,
mn,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.86353267044277,0.05393310356513,
mo,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.77484129207031,0.042202959304255,
ms,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.9952724867284,0.058617536983266,
mt,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.1049793381114,0.085178504161869,
nc,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.69593231214332,0.030483206237186,
nd,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.2493686824513,0.1103325697618,
ne,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0285466221495,0.099457712297686,
nh,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0312913379241,0.086961474345507,
nj,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.6833722606655,0.05677156526561,
nm,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.77773146712652,0.085632346144162,
nv,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.1660160340228,0.092393848935994,
ny,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.611332788351,0.035480390120533,
oh,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.89928912486799,0.031591210232805,
ok,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0849658296617,0.065820505607197,
or,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.95410585406315,0.068789737529843,
pa,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.97377842235176,0.027243027309143,
ri,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.99637723373753,0.085485097759415,
sc,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.74976428125139,0.04796493435285,
sd,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.1034088011072,0.14109078214934,
tn,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.86916480200169,0.049605664598902,
tx,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.87460402872204,0.026593693885527,
ut,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.96082794824567,0.080144529766982,
va,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.95300508932637,0.043437817366205,
vt,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.53234081304954,0.082055922202343,
wa,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.80406538887581,0.036403230096298,
wi,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.87667562878867,0.053657260056274,
wv,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,1.0377320252472,0.069059652029716,
wy,nmf_day_doc_fbc_fbs_ght,20200422,,20200721,90,0.83102358311376,0.12214549472312,
