geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.65048712938142,0.053940916161686,
al,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.84343504860868,0.031994252982643,
ar,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.59842139531805,0.03349155571365,
az,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.71159902420528,0.025893380279053,
ca,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.549900990423,0.011967184809514,
co,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.83668425776353,0.019542617778677,
ct,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,1.0352605559646,0.038785119240197,
dc,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,1.1389267376457,0.10650580348443,
de,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.76546039318334,0.043325066019733,
fl,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.51161052092887,0.012123423968698,
ga,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.718992849701,0.024702317024396,
hi,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.22518110581507,0.043120520638879,
ia,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.9021490737772,0.03620867881909,
id,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.3738694159049,0.037942976133942,
il,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.84224945510366,0.019367758913501,
in,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.79693000129026,0.025638427431043,
ks,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.66153242102672,0.031048392736758,
ky,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.90630783037462,0.034820580338911,
la,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.7409813527575,0.025941253023974,
ma,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.88318763180509,0.024990532400318,
md,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.9999116148293,0.034476978417472,
me,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.54307505575717,0.035080615219651,
mi,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.74593218073939,0.02128061867444,
mn,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.8045849168174,0.033974652848167,
mo,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.64971237433681,0.027983223169826,
ms,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.65530582799999,0.035526638915118,
mt,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.46679514030783,0.035309493550015,
nc,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.57167767937824,0.016648107233033,
nd,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.75607005588589,0.058268156178208,
ne,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.91534612019247,0.0352839581132,
nh,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,1.2247544759911,0.036738462818377,
nj,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,1.2263399961806,0.036623894391623,
nm,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,1.0395074329658,0.044673204637393,
nv,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.71735753476329,0.042213359972445,
ny,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,1.1203787410211,0.018453147683688,
oh,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.6297905775255,0.015524952403989,
ok,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.69071266790484,0.029653426668552,
or,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.51103955049597,0.02454437541498,
pa,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.58128702351162,0.01517241328616,
pr,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.45935620626736,0.1563672601262,
ri,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.76374954140801,0.057779010223427,
sc,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.58163513949553,0.023709973371816,
sd,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.57921279222957,0.055660151900959,
tn,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.60280580571649,0.024812876908339,
tx,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.60428771365939,0.014785699297376,
ut,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.58655946619746,0.028634863385845,
va,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.93824385743821,0.020949474204027,
vt,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.46543681998213,0.03934035722466,
wa,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.57740353960453,0.018408426680293,
wi,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.65239940420671,0.022195349886154,
wv,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.67743092910511,0.034830736509784,
wy,nmf_day_doc_fbc_fbs_ght,20200524,,20200822,90,0.78699035961778,0.066747344623254,
