geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200421,,20201017,179,6.2857142857143,,
al,confirmed_7dav_incidence_num,20200421,,20201017,179,195.14285714286,,
ar,confirmed_7dav_incidence_num,20200421,,20201017,179,109.28571428571,,
az,confirmed_7dav_incidence_num,20200421,,20201017,179,207.57142857143,,
ca,confirmed_7dav_incidence_num,20200421,,20201017,179,1422.1428571429,,
co,confirmed_7dav_incidence_num,20200421,,20201017,179,450.28571428571,,
ct,confirmed_7dav_incidence_num,20200421,,20201017,179,910.14285714286,,
dc,confirmed_7dav_incidence_num,20200421,,20201017,179,148.57142857143,,
de,confirmed_7dav_incidence_num,20200421,,20201017,179,143.57142857143,,
fl,confirmed_7dav_incidence_num,20200421,,20201017,179,891.85714285714,,
ga,confirmed_7dav_incidence_num,20200421,,20201017,179,727.85714285714,,
hi,confirmed_7dav_incidence_num,20200421,,20201017,179,9.8571428571429,,
ia,confirmed_7dav_incidence_num,20200421,,20201017,179,248.28571428571,,
id,confirmed_7dav_incidence_num,20200421,,20201017,179,43.142857142857,,
il,confirmed_7dav_incidence_num,20200421,,20201017,179,1401.4285714286,,
in,confirmed_7dav_incidence_num,20200421,,20201017,179,511.14285714286,,
ks,confirmed_7dav_incidence_num,20200421,,20201017,179,85.714285714286,,
ky,confirmed_7dav_incidence_num,20200421,,20201017,179,140.85714285714,,
la,confirmed_7dav_incidence_num,20200421,,20201017,179,477,,
ma,confirmed_7dav_incidence_num,20200421,,20201017,179,1862.2857142857,,
md,confirmed_7dav_incidence_num,20200421,,20201017,179,674.71428571429,,
me,confirmed_7dav_incidence_num,20200421,,20201017,179,22,,
mi,confirmed_7dav_incidence_num,20200421,,20201017,179,851.85714285714,,
mn,confirmed_7dav_incidence_num,20200421,,20201017,179,118.71428571429,,
mo,confirmed_7dav_incidence_num,20200421,,20201017,179,179.42857142857,,
ms,confirmed_7dav_incidence_num,20200421,,20201017,179,232.14285714286,,
mt,confirmed_7dav_incidence_num,20200421,,20201017,179,15.142857142857,,
nc,confirmed_7dav_incidence_num,20200421,,20201017,179,265,,
nd,confirmed_7dav_incidence_num,20200421,,20201017,179,43.142857142857,,
ne,confirmed_7dav_incidence_num,20200421,,20201017,179,80.428571428571,,
nh,confirmed_7dav_incidence_num,20200421,,20201017,179,57.142857142857,,
nj,confirmed_7dav_incidence_num,20200421,,20201017,179,3425.2857142857,,
nm,confirmed_7dav_incidence_num,20200421,,20201017,179,89.428571428571,,
nv,confirmed_7dav_incidence_num,20200421,,20201017,179,188.71428571429,,
ny,confirmed_7dav_incidence_num,20200421,,20201017,179,7107.2857142857,,
oh,confirmed_7dav_incidence_num,20200421,,20201017,179,920.57142857143,,
ok,confirmed_7dav_incidence_num,20200421,,20201017,179,89.714285714286,,
or,confirmed_7dav_incidence_num,20200421,,20201017,179,52.857142857143,,
pa,confirmed_7dav_incidence_num,20200421,,20201017,179,1311,,
ri,confirmed_7dav_incidence_num,20200421,,20201017,179,301.42857142857,,
sc,confirmed_7dav_incidence_num,20200421,,20201017,179,150.28571428571,,
sd,confirmed_7dav_incidence_num,20200421,,20201017,179,109.85714285714,,
tn,confirmed_7dav_incidence_num,20200421,,20201017,179,224.71428571429,,
tx,confirmed_7dav_incidence_num,20200421,,20201017,179,796,,
ut,confirmed_7dav_incidence_num,20200421,,20201017,179,126.57142857143,,
va,confirmed_7dav_incidence_num,20200421,,20201017,179,495.28571428571,,
vt,confirmed_7dav_incidence_num,20200421,,20201017,179,9.1428571428571,,
wa,confirmed_7dav_incidence_num,20200421,,20201017,179,227,,
wi,confirmed_7dav_incidence_num,20200421,,20201017,179,152.14285714286,,
wv,confirmed_7dav_incidence_num,20200421,,20201017,179,34.142857142857,,
wy,confirmed_7dav_incidence_num,20200421,,20201017,179,5.7142857142857,,
