geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200423,,20201017,177,5.2857142857143,,
al,confirmed_7dav_incidence_num,20200423,,20201017,177,203.57142857143,,
ar,confirmed_7dav_incidence_num,20200423,,20201017,177,140.42857142857,,
az,confirmed_7dav_incidence_num,20200423,,20201017,177,219.14285714286,,
ca,confirmed_7dav_incidence_num,20200423,,20201017,177,1632.8571428571,,
co,confirmed_7dav_incidence_num,20200423,,20201017,177,358.14285714286,,
ct,confirmed_7dav_incidence_num,20200423,,20201017,177,1030.8571428571,,
dc,confirmed_7dav_incidence_num,20200423,,20201017,177,144.42857142857,,
de,confirmed_7dav_incidence_num,20200423,,20201017,177,176.14285714286,,
fl,confirmed_7dav_incidence_num,20200423,,20201017,177,901,,
ga,confirmed_7dav_incidence_num,20200423,,20201017,177,761.71428571429,,
hi,confirmed_7dav_incidence_num,20200423,,20201017,177,7.8571428571429,,
ia,confirmed_7dav_incidence_num,20200423,,20201017,177,254.28571428571,,
id,confirmed_7dav_incidence_num,20200423,,20201017,177,31.714285714286,,
il,confirmed_7dav_incidence_num,20200423,,20201017,177,1600.4285714286,,
in,confirmed_7dav_incidence_num,20200423,,20201017,177,415.57142857143,,
ks,confirmed_7dav_incidence_num,20200423,,20201017,177,127.85714285714,,
ky,confirmed_7dav_incidence_num,20200423,,20201017,177,151.85714285714,,
la,confirmed_7dav_incidence_num,20200423,,20201017,177,460.57142857143,,
ma,confirmed_7dav_incidence_num,20200423,,20201017,177,1977.4285714286,,
md,confirmed_7dav_incidence_num,20200423,,20201017,177,707.28571428571,,
me,confirmed_7dav_incidence_num,20200423,,20201017,177,20.428571428571,,
mi,confirmed_7dav_incidence_num,20200423,,20201017,177,861.14285714286,,
mn,confirmed_7dav_incidence_num,20200423,,20201017,177,124.57142857143,,
mo,confirmed_7dav_incidence_num,20200423,,20201017,177,172.14285714286,,
ms,confirmed_7dav_incidence_num,20200423,,20201017,177,218.28571428571,,
mt,confirmed_7dav_incidence_num,20200423,,20201017,177,4.1428571428571,,
nc,confirmed_7dav_incidence_num,20200423,,20201017,177,286.57142857143,,
nd,confirmed_7dav_incidence_num,20200423,,20201017,177,45.142857142857,,
ne,confirmed_7dav_incidence_num,20200423,,20201017,177,133.57142857143,,
nh,confirmed_7dav_incidence_num,20200423,,20201017,177,65.571428571429,,
nj,confirmed_7dav_incidence_num,20200423,,20201017,177,3524.5714285714,,
nm,confirmed_7dav_incidence_num,20200423,,20201017,177,111.28571428571,,
nv,confirmed_7dav_incidence_num,20200423,,20201017,177,128.71428571429,,
ny,confirmed_7dav_incidence_num,20200423,,20201017,177,5892.1428571429,,
oh,confirmed_7dav_incidence_num,20200423,,20201017,177,896.85714285714,,
ok,confirmed_7dav_incidence_num,20200423,,20201017,177,94.285714285714,,
or,confirmed_7dav_incidence_num,20200423,,20201017,177,55.714285714286,,
pa,confirmed_7dav_incidence_num,20200423,,20201017,177,1331.2857142857,,
ri,confirmed_7dav_incidence_num,20200423,,20201017,177,336.57142857143,,
sc,confirmed_7dav_incidence_num,20200423,,20201017,177,143,,
sd,confirmed_7dav_incidence_num,20200423,,20201017,177,92.142857142857,,
tn,confirmed_7dav_incidence_num,20200423,,20201017,177,282,,
tx,confirmed_7dav_incidence_num,20200423,,20201017,177,729.28571428571,,
ut,confirmed_7dav_incidence_num,20200423,,20201017,177,132.85714285714,,
va,confirmed_7dav_incidence_num,20200423,,20201017,177,587.57142857143,,
vt,confirmed_7dav_incidence_num,20200423,,20201017,177,8,,
wa,confirmed_7dav_incidence_num,20200423,,20201017,177,229.14285714286,,
wi,confirmed_7dav_incidence_num,20200423,,20201017,177,168,,
wv,confirmed_7dav_incidence_num,20200423,,20201017,177,36.857142857143,,
wy,confirmed_7dav_incidence_num,20200423,,20201017,177,5,,
